종목명,상장일,공모 시가총액,매출총이익률,유동비율,부채비율,매출액증가율,3개월 후 PER,3개월 후 PBR,3개월 후 EV/EBITDA,3개월 평균 거래량회전율,3개월 평균 일중변동률,3달 후 시장 회전율,3달 후 시장수익률,3달 후 고객예탁금 증감률,상장일 기준 국고3년시장금리,3_6_수익률,개인거래비중
코오롱생명과학,2009-04-07,80370000000.0,0.265038949,1.521216174,1.267153798,0.222942325,31.53170028,9.853440223,25.31805924,0.082121212,6.581212121,318.7071707,0.109448939,-0.107764994,3.94,-0.232441472,91.21909091
뷰웍스,2009-04-10,54431190000.0,0.588840251,6.590178012,0.116097743,0.272505653,12.43506019,3.81719351,10.03540459,0.059848485,7.620454545,314.8158239,0.00407493,-0.140916571,3.88,0.125984252,95.62780303
에스앤에스텍,2009-04-14,43663920000.0,0.274725086,1.772446461,0.931423585,0.347533593,18.69043229,2.404833369,8.714033332,0.074242424,8.195454545,307.7517888,-0.063753244,-0.160575011,3.78,0.198704104,93.93318181500001
에이테크솔루션,2009-04-17,54000000000.0,0.142112329,0.850896063,2.723670268,0.144141689,10.40842245,3.937682043,8.398360006,0.047727273,7.536969697,299.7051295,0.004278628,-0.1926127,3.72,0.992709599,95.466818185
엔에스브이,2009-04-17,36335000000.0,0.290371619,1.294780977,1.410723841,0.071950449,25.61134297,5.866673355,13.45698122,0.088939394,8.81530303,299.7051295,0.004278628,-0.1926127,3.72,0.020942408,90.984772725
에스티오,2009-04-17,24994005000.0,0.691725208,1.922324119,1.078552964,0.320880798,4.498403618,1.13700739,3.259619049,0.028484848,6.502121212,299.7051295,0.004278628,-0.1926127,3.72,-0.094808126,97.15780303
티플랙스,2009-04-23,17259000000.0,0.125885787,2.281101154,1.148893064,0.091977896,8.405325453,1.464031997,8.083429643,0.041969697,6.279393939,291.9551608,-0.031511992,-0.085313111,3.7,-0.158349328,96.70204545
네프로아이티,2009-04-24,15300000000.0,0.728706229,0.989672305,1.743850415,1.162867139,24.72119112,3.143090607,5.376932975,0.052424242,8.162424242,290.4737775,-0.014738916,-0.091400394,3.57,-0.596521739,97.063333335
우림피티에스,2009-04-28,86873000000.0,0.317355838,1.305985611,0.634813301,0.711707734,11.07525302,4.269131383,7.78215187,0.060151515,8.924545455,285.2449036,0.051713708,-0.059027962,3.5,-0.261481481,90.9205303
신텍,2009-04-30,68127712500.0,0.188360142,1.070210473,2.347741573,0.659928885,40.9718571,7.430275882,14.48038319,0.055,8.538181818,282.6400284,0.003832488,0.01018056,3.59,-0.003891051,89.937651515
