,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,-0.088535121,-0.07652401957142858,-0.08585896500000001,0.1225420438378378,0.16063061167741932,0.1410009171388889,0.09320712571052633,0.05739587379365079,0.0576119232244898,0.0083420178,0.008475754350000008,-0.06361956059375001,-0.023576341137931042,-0.03422952384210526,-0.010244181178571432,-0.013605776555555558,-0.06953414589999998,-0.02641152192857143,0.003122285972972976,-0.04700216282978724,-0.02586545438461538,-0.02365582879411765,0.07432188632258065,-0.038260648840909114,-0.12110659828571427,-0.10677943451063829,0.058189883571428555,0.018273404309523806,0.07494806441025641,0.02302327632432432,-0.0971079417222222,-0.03991813475000002,-0.0028359466369380563
buy¼öÀÍ·ü,-0.088535121,-0.07652401957142858,-0.08585896500000001,0.1225420438378378,0.16063061167741932,0.1410009171388889,0.09320712571052633,0.05739587379365079,0.0576119232244898,0.03207786497619047,0.08351622073529412,-0.1237745737,0.15916879599999997,-0.128910061,-0.02099909533333334,-0.028283066000000006,-0.08622512928571427,-0.0807257350952381,0.0015107235151515187,-0.05102261563414634,-0.060780134137931034,-0.030771561857142866,-0.15036054399999998,-0.13543548211111114,-0.14367650269565216,-0.13651101290243903,-0.06320729990476191,0.0003255103636363544,-0.012746575250000003,0.03342493718749999,-0.016615970333333334,-0.25245997025000005,-0.025969090215676463
all¼öÀÍ·ü,-0.030289256500000007,-0.03678095096666666,-0.05624664413888888,0.15720059463043476,0.15516218744444443,0.1210113111607143,0.09493033706557376,0.0529535258169014,0.03645664984415584,0.039252244447761195,0.07210314081666666,-0.022625519509803915,0.009403680846153843,0.014611007466666668,-0.0024176555466666684,-0.02209149055172414,-0.029732789483333338,-0.04519292026785715,-0.015876563361702133,-0.04335487453225807,-0.04740712479310346,-0.0654811296607143,-0.10414057038709677,-0.11250255506451613,-0.1345314538095238,-0.12859557161666668,-0.08763287948437501,-0.012498149603448281,-0.017919959869565218,-0.007069399569230772,0.004618797024999987,-0.10810847321052634,-0.011649764230099838
