,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.06096241871428571,0.07797915278571428,0.10591005037500001,0.007427100033333319,0.19442492133333342,-0.07135205808333332,0.12552994883333332,-0.028362560863636366,0.01562326788888888,0.03989425471428571,-0.036651469756756774,-0.1155781201875,0.03542722668571429,-0.0051218740909090696,-0.017204909766666665,-0.074815784975,-0.004148677344827594,-0.08122747391489363,-0.076159578,0.10492656652272726,0.0448777682631579,-0.061768096749999994,0.007134258250000005,-0.0013268708571428606,-0.09417048300000001,0.08783348885365853,0.04149528351999999,0.06829476818604649,0.053689227451612906,0.06995351517857142,-0.019979549076923085,0.06611927147058824,0.0162385931997707
buy¼öÀÍ·ü,0.05624522189473684,0.10981078638461537,0.10248119577272728,0.16785506824,0.2540891857368422,0.08725779271999999,0.14631600549999998,-0.028362560863636366,0.012994846962264143,0.030216654750000002,0.02628343347826087,-0.1759527167222222,0.12757978150000002,0.5099834025000001,0.07281352560000001,-0.028286426130434784,0.025242233233333324,-0.08888664748275864,-0.10400818205882355,0.0706009508076923,0.009494722960000009,-0.06007025309999999,-0.01070454516129032,-0.045862927375,-0.1313876013939394,0.009211102857142852,-0.06196105005555557,0.03445188826315788,-0.03769976811764706,-0.06722818620833333,-0.17947684657142857,-0.1731588138,0.02062128981624074
all¼öÀÍ·ü,0.1192887874,0.09776529419999999,0.1288982936111111,0.28968957195652173,0.2939778540888889,0.20457979603571427,0.11398604931147542,0.020577141915492963,0.007958743883116882,0.034979454970149246,0.0761255453,-0.012210830274509808,0.011563848634615393,0.031042583333333353,0.06172815429333333,0.02095795722413793,0.030557335150000007,0.001038751642857145,-0.07889819165957447,-0.03657693562903225,-0.03462938779310344,-0.06046172499999999,-0.061077147516129034,-0.07709686061290322,-0.06228368480952381,-0.03948208383333333,-0.025967258750000007,-0.027188709327586207,-0.10376107615942029,-0.09984199829230768,-0.11663520674999998,-0.1882595271578947,0.016260766855794664
