,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.10340728281818183,0.010650070000000001,-0.034544652333333335,1.1520000000000001,,0.16949201214285714,0.11626975177419356,0.023694135222222218,0.04352173360000001,0.04651446224242423,0.035476459314285703,0.06276845146153845,0.024249179324324327,0.05251833565789474,0.06734159938095238,0.0058362356875000035,0.09984062245714287,0.04845606444444445,0.0038951372894736815,0.014393800133333337,0.0479532142195122,-0.012243227714285708,0.05927494459090909,-0.05777158537209302,0.03869009697872341,-0.01925669618367347,0.04105998718644068,-0.029817575270833327,0.0027521271034482756,0.05891983791666668,0.02673827078571428,0.09523051953846154,0.07410679336762666
buy¼öÀÍ·ü,0.11367488885714286,-0.005552494374999998,0.03852149966666667,1.1520000000000001,,0.38893926325,0.14412312707142858,0.017583327508196717,0.04352173360000001,0.04651446224242423,0.03756012179999999,0.10361557250000002,-0.009861788071428566,0.008929321846153852,0.04978430130000001,0.010438247050000005,0.11743087222580645,0.058123062925925936,0.0031076260833333303,0.016667040523809528,0.023418940312500004,0.005382963631578958,0.04885596183333332,-0.053560407310344824,0.0713096710357143,-0.004021626272727276,0.10272306264864865,0.018433885000000004,0.031177821489795917,0.10931675610810812,0.04734479049999999,0.10403919040000001,0.09159810307680862
all¼öÀÍ·ü,0.09856573323333333,0.10581607216666668,0.14471160944444442,0.18178012480434785,0.18076977888888893,0.14178241092857144,0.09183357895081967,0.013334568647887327,0.039934336233766236,0.04546091017910448,0.04763882848333333,0.02552412421568628,-0.023483222769230767,-0.023069975116666665,0.019294544613333336,0.051544354224137924,0.06916654118333335,0.04431348441071429,0.010869422382978715,0.04031359859677419,0.005367989568965519,0.044691013053571434,0.015870395193548385,-0.0012583943064516181,0.03245172992063492,0.0287599415,0.0814048845625,0.04448003787931035,0.12323220185507244,0.1307580442307692,0.159015063625,0.33278438800000004,0.07198931621203576
