,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.2064513272222222,0.030383810166666674,0.011826559178571458,0.1366170631666667,0.2539602266944444,0.41475395780645175,0.4503947711250001,0.02097209043103447,0.025417207446428558,-0.032453374869565225,-0.0774709942,-0.14436523431111112,-0.044027146878787886,-0.056623087377358494,-0.005597334616666657,0.0529464709310345,0.031771649365853645,0.11522377872,0.037244949533333356,-0.049507530857142865,0.06677498922916666,-0.048974878809523816,0.05757189443137255,0.042610962326530624,0.0005908681136363599,-0.04612806482608694,0.019604923408163267,-0.03135818926829269,0.05925707840740741,0.07096154994915255,0.180667348,0.13376214258333335,0.05885186819443547
buy¼öÀÍ·ü,0.2449891863043478,0.1445149027,0.09577358986956523,0.38441411056,0.5664746867142856,0.6993637742173915,0.6764085038421054,0.02097209043103447,0.025417207446428558,-0.11170208128571428,-0.16358002300000002,-0.10135038440625001,-0.04618620325000001,-0.0779466875909091,0.16342130573684213,0.13684554656250003,0.1777689195,0.1769312202413793,-0.013722554052631564,-0.02484250186,0.01047787136585366,-0.04999956324137931,0.020867138468750004,-0.09565161978571426,-0.09407288754166666,-0.1090960456428571,0.04822948544444445,0.00452514555555556,0.04545834341176473,0.11286628579166669,1.697286013,,0.14725337985505785
all¼öÀÍ·ü,0.1940059236,0.18082550703333328,0.2742512516388889,0.5401972494130434,0.5473633586444444,0.40212493573214286,0.2460821486065574,0.04484051740845071,0.05387384042857144,0.09039340289552238,0.13140242158333335,-0.003939572843137258,-0.026056079346153845,-0.005018043066666667,0.08349876733333333,0.07631852172413794,0.11415630751666668,0.067402815875,-0.0603606749574468,0.01568835420967742,-0.027984222758620697,-0.024942306928571436,-0.04829698932258064,-0.11350841420967743,-0.05920340079365079,-0.037519375449999996,0.025962815640625005,0.010056291362068967,-0.004299423159420296,0.005085556723076918,-0.001834430875000015,0.0905998844736842,0.08691146681661348
