,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.3722392646428572,0.36696681281250004,0.2481735705,0.5269593080526317,0.3855440329310345,0.45455813218421054,0.47009794185714293,0.3870515727941177,0.3035239706451613,0.3264204918461538,0.2376673222,-0.10124483245652174,0.09084763275000002,-0.026952959425,0.010346247697674405,0.05533625768085109,0.06876749664814816,0.04241450648076926,0.21686049924999998,0.10852931781481477,0.025230825146341444,0.11456919232608694,0.007070565115384602,0.005173349899999996,0.042002704437499996,0.04414311064,0.19104685000000002,0.23556231082142862,0.42147342448888886,0.4817587228153845,0.6992941611794872,0.6501653404210526,0.23317491075619062
buy¼öÀÍ·ü,0.6376162391000001,0.36696681281250004,0.2481735705,0.5321726424864867,0.3855440329310345,0.45455813218421054,0.4898725097317073,0.3870515727941177,0.3035239706451613,0.3264204918461538,0.25979860025,0.004186645444444438,0.1940701701764706,0.11588512636,0.12064337491666666,0.37426098114285716,0.2660719945,0.32174045929032263,0.3820425377142857,0.3716727038709677,0.28069365726086953,0.261424592862069,0.20377748372727275,0.5227884615,0.05347063287500001,0.072521847625,0.23499557583333333,0.4202852275454546,0.5985345882894737,0.5932761163833332,0.7441066478378378,0.6873967482222221,0.35048575464560155
all¼öÀÍ·ü,0.3848926109666666,0.31513417886666667,0.200450953,0.503996643326087,0.4627300599555556,0.452607315625,0.4924976276557377,0.3792511684225353,0.3633751718441559,0.3333369366567164,0.3081595887833333,0.09824920205882352,0.1559215659423077,0.15936012645,0.14892335808,0.22837807896551726,0.2494803414833333,0.32652770801785713,0.4002900951063829,0.30186761577419363,0.25742305136206894,0.17617272594642858,0.12113101924193549,0.09425797517741936,0.038416400650793645,0.08544732270000001,0.21368123271874997,0.5012642502068965,0.611980663057971,0.613520261276923,0.74203549135,0.6522706035789473,0.32415722950778136
