,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.05186895713333333,0.0365112868,-0.083040604,0.014613009363636369,0.02082610383333335,0.09564881111764706,-0.04035492934285714,-0.04267025624137931,0.07429569848148149,0.005877323821428568,-0.03607962254545454,-0.06425874028,-0.011724122193548391,0.009110002514285715,0.009917699609756097,0.06509969955882354,0.09463226396666667,0.10296629595238095,0.054617317055555545,0.04035485295238095,-0.03621554554761904,-0.017321099441176466,0.01213706630952381,0.03005383132558139,0.03278340147727272,-0.0016055021162790784,0.04819224246666666,0.04478088156521738,-0.07282559395652174,-0.06041773718032788,-0.0535077295862069,0.13400559783333335,0.014320964397091698
buy¼öÀÍ·ü,0.061154400909090904,0.046995337874999994,-0.083040604,0.09888771392857143,0.24257749787500002,0.2831185922857143,-0.008135191750000003,-0.04267025624137931,0.03950263766666667,-0.086768401,-0.02465091114285714,-0.04607802223076924,0.022567407357142855,0.040908369588235294,0.06155560970833334,0.03640427833333334,0.10508558310000002,0.08914183858620689,0.0014830787599999984,0.04377367024,0.016784655730769225,0.002991592347826086,0.07041807128571428,0.041476589913043475,0.16305449705263156,0.08329331521739129,0.08716060930434782,0.0019937886666666605,-0.07282559395652174,-0.07173635076785714,-0.1581716789375,0.11547632300000003,0.03630401402202502
all¼öÀÍ·ü,0.1457979382,0.13206980210000002,0.14738685600000004,0.09453482795652177,0.09985264393333332,0.05359447969642859,0.017224425639344263,-0.022758271788732392,-0.017389749844155845,0.007695059567164182,0.013903734766666665,0.017217302098039216,0.00964934355769231,0.020661860716666668,0.06744249870666669,0.0483889652586207,0.05969324813333334,0.05409846019642856,-0.048561697744680846,0.026564964838709675,0.033497547913793106,0.014427133107142855,0.05006538509677421,0.025058028193548385,0.08797126623809524,0.11208175533333332,0.08039202814062499,0.017970961431034473,-0.07282559395652174,-0.08048110996923076,-0.102055880625,-0.0544154102105263,0.03246102508378482
