,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,-0.07358013914285712,0.5229521540000001,0.28903493110526324,0.2505837816153846,0.7563569411818183,0.724123085575,0.5952648820333333,0.35426384130985916,0.3712664985844156,0.392049620962963,0.2668392731470588,-0.04627681239534884,0.045611555395833336,-0.05471295550943397,0.20302081029090915,0.24431223573913047,0.07038696399999998,0.058669710139999935,0.1928731856888889,0.15904255203508774,0.1030109025319149,0.05157208533333335,0.0772653078064516,0.07070695345833333,-0.0011669065208333347,0.13160423544444447,-0.04751052770731707,0.2642661354324325,-0.17096030803124995,0.07217508260344821,0.6522804074838711,0.8972199511052631,0.2319545448342937
buy¼öÀÍ·ü,0.4894819542500001,0.6906366636250001,0.397851413882353,0.6552945687878787,0.8708022552439025,0.7373806096666667,0.6391326333703703,0.35426384130985916,0.3712664985844156,0.40228760373076927,0.30503746823333333,0.10478994005263158,0.07542720190243903,0.062234334432432425,0.5472499080740741,0.4148099954545455,0.42548268934375,0.31815950755263156,0.1928731856888889,0.25490045690384616,0.1713064271891892,0.21291864870833335,0.25602402014285713,0.05884486469767442,0.03527057165909091,0.15006131921428573,0.15453049969230767,0.5021269786666667,0.544684029,0.5635047229142855,0.7483564210666668,0.8972199511052631,0.39388159950457524
all¼öÀÍ·ü,0.6316285903000001,0.5584407858,0.5746019669722222,0.9151459660434781,0.8826536189111112,0.7385312114285715,0.637529508442623,0.35426384130985916,0.3712664985844156,0.38977932208955224,0.36476644263333335,0.11351936839215687,0.09815642098076924,0.12512589576666666,0.2804690891066666,0.38777113179310346,0.43880368285,0.44815422655357146,0.26453984276595743,0.2859909683387098,0.2084979349655172,0.17769839773214285,0.14819502956451616,0.05999314540322581,0.1109240575873016,0.1780372698833333,0.354234888328125,0.5159771033793104,0.6160308244782609,0.6137788756153846,0.689272763675,0.8972199511052631,0.4197187068993797
