,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.11900061084999995,0.3385520942962963,0.544442217375,0.38842670355555553,0.6562889740769231,0.5137690576363636,0.28515895729729746,0.3051351244264706,0.2632825872597403,0.31501314167241373,0.18756054409302325,-0.0658055716857143,-0.08989136745454543,-0.13562182263829786,0.06356693727272728,-0.08337220962500003,0.07378452370588236,0.11126441156000003,0.2639221784680851,0.18184121111475413,0.09246549518867925,0.06844383972340426,-0.12143074955813955,0.19444716900000003,0.0007902729285714306,0.10745765257142859,0.10460952739622643,0.2730689622820513,0.04409687024074076,0.44672645520000004,0.5534009714705883,0.5106864546315789,0.20347128826037827
buy¼öÀÍ·ü,0.5897339121818181,0.42491245231999997,0.544442217375,0.6334701267419355,0.6806649997105264,0.5775082938095238,0.5838208583793105,0.3051351244264706,0.28774347236842107,0.33391636632727273,0.27140467305263155,0.0421031127142857,0.06616850896296295,0.18509654766666664,0.404478828,0.25433405349999993,0.31654748060606064,0.4660311155185185,0.2839021094318182,0.2581188538333334,0.2682956495405405,0.20047627942424245,0.10767709319999999,0.2192542117894737,0.034138148916666666,0.1463690016764706,0.3031236209375,0.45728757896551725,0.37544616451428575,0.4796366696229509,0.5534009714705883,0.5106864546315789,0.34891640473801155
all¼öÀÍ·ü,0.5425346519666667,0.4556127468,0.4009446802222223,0.6400103211304348,0.6066799921555556,0.5196665812678571,0.4887820145081968,0.3128792472676057,0.30473050105194804,0.3140069447761194,0.29435081933333335,0.11468335609803923,0.15902222134615382,0.18122261335000003,0.24666430227999997,0.2944234916379311,0.3149550506666667,0.36099059776785714,0.2676392179148936,0.2709197150967742,0.24813937296551725,0.16837877957142858,0.1590513971774194,0.10844923824193549,0.10273396777777778,0.16761477028333338,0.258535712796875,0.44345016708620694,0.46257591353623195,0.4535146785538462,0.5363585207,0.5106864546315789,0.3346940012487627
