,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.06164402789372285,0.04505520416392261,0.07860160912686368,0.03923613372640298,0.03275489020318286,0.032191708357403426,0.04477181355869535,0.06259459377232135,0.025525285515781242,0.07611383226659599,0.041632958853760185,0.04008109701668626,0.08805710027858671,0.08315420256296052,0.04137485671195275,0.0456888712537842,0.06514816501993416,0.044388873410428326,0.02340232383850353,0.06913268932047248,0.0392969383431772,0.03736499970637277,0.02758058997372612,0.04123873753348745,0.020400133595059947,0.016372260318278337,0.05487234974213093,0.062221375540725425,0.02328842409553983,0.0354952982188471,0.021660458512159177,0.05494533451825125
유동비율,0.13548725367548412,0.1295952098116254,0.15279634046625934,0.10358839338423168,0.08775168679060022,0.09690344983965644,0.12077891948925325,0.051026119710931135,0.13320138659733827,0.04601088858950872,0.04581392324946697,0.04894948528714892,0.05131746356770698,0.038047593708056215,0.03205732036208099,0.03563169374078685,0.06359789993155553,0.05081293934268244,0.07390927437702816,0.07282781746784261,0.09303114486961404,0.07016718566358189,0.18243597144950316,0.057726564764659836,0.05123070393998548,0.07547960373028624,0.08365811471558035,0.08903924059581543,0.0719484710728519,0.08285615093630773,0.04468564401676863,0.04001105079848966
부채비율,0.16184769711801067,0.14144159402435091,0.08798455748192066,0.0943072026034332,0.09862296896938387,0.1599327409128097,0.1025946487418929,0.03929811698710647,0.04576596839022395,0.0460976883433209,0.09675164480388804,0.054700216312749794,0.015974233451036136,0.03382036675800885,0.018675185236711057,0.037071551939469885,0.023457759622337298,0.02048895214069044,0.07025770363556742,0.05351972545029258,0.03260212413232806,0.07421621912317397,0.06105787045992118,0.0492257554173081,0.09330253273255976,0.07284686371135336,0.05319101863425957,0.0578870688267641,0.05296302394455532,0.022425398036018764,0.07530248323464593,0.03590454202027958
매출액증가율,0.04187245304905909,0.03666427170898846,0.05715563723821434,0.08074766774726404,0.05467271108034424,0.08871838923110544,0.14416918936495485,0.12352885486769925,0.06830110578104699,0.05716467166641076,0.04242504871237719,0.06191004136067189,0.053584582962070484,0.06691396367197103,0.09590425148525347,0.05110127381506338,0.09568971849319603,0.07287296047262297,0.07589708248390356,0.10076912408087996,0.14492803356014464,0.07116016645695011,0.03792144422412344,0.1191560244422762,0.109015350842446,0.12485038253178925,0.10402988872476787,0.05360273085902843,0.09411359221264083,0.1228266874770554,0.1602073174844093,0.13358958795734938
1개월 후 PER,0.04988767720364752,0.03308184598213524,0.01933052123190283,0.048172320024459404,0.06663496057418745,0.04541619524929354,0.01842557515316284,0.051283195505313496,0.04809344113314623,0.04058106585929731,0.07418461272900725,0.05038753501007062,0.050904755438685535,0.0337440941087198,0.04946046763183185,0.07255828998507315,0.07866742152156185,0.07512509081142013,0.06263762456193525,0.03993653559087036,0.048774798675432655,0.08026206493370157,0.10621501061168008,0.08303164236681818,0.1082223142882341,0.10313655586050023,0.10901047688548507,0.06422412371087624,0.042940449163935364,0.04039048917049988,0.07639574286563447,0.035080720063097384
1개월 후 PBR,0.11794435262569453,0.07609682118130942,0.1045135435583137,0.07568216530368492,0.02864703349100517,0.032727812630594245,0.0859327278297218,0.06893572348947946,0.13927353547003782,0.1653519010070304,0.11051353195584074,0.0935534197571498,0.12097942052339745,0.1017054098917883,0.13439179031273749,0.12186414094824295,0.08094705571071215,0.13107128858830988,0.1129408060559377,0.1050176523788829,0.05919759378688441,0.11247373645458952,0.12569846846721466,0.09130957080607498,0.07742850041390494,0.07092099480059272,0.1103835997002322,0.1036439796124926,0.05973993318137851,0.07706776100175665,0.09032687694398052,0.1054928591556991
1개월 후 EV/EBITDA,0.026809079036568668,0.025262655417886047,0.04045015252965426,0.08136391673459563,0.04815446574517223,0.056750029328673166,0.023875223228372912,0.04678855952811932,0.05498717756746399,0.055578694297238065,0.058139177275100436,0.03968914092084642,0.05213396761092034,0.038964573389617216,0.09885744474693224,0.08858359427490889,0.06320678115514332,0.0701286841896634,0.062202934443208666,0.09602962152201504,0.06096108358187813,0.07150323100561219,0.07904073678832715,0.09326539856138752,0.08593353407324587,0.09571551402778364,0.07131439611035442,0.05712524329531984,0.05045587529144197,0.05640863437670283,0.0864084312771667,0.03739244391016062
1개월 평균 거래량회전율,0.06034683161755808,0.1121418854804495,0.04722403899887827,0.0786770735873885,0.16728806673349556,0.09130634497415252,0.03560455441506116,0.050919293842468974,0.10088166395384238,0.04093495576576838,0.07030023311363386,0.03780270293180217,0.0774420953962756,0.060648057243867536,0.054628916740705184,0.040726888980534094,0.06676321644058945,0.07676470292116473,0.07088684966993651,0.10625542061105912,0.059360590726988974,0.05165253656453421,0.07932251216704019,0.054319454097931166,0.06373508662157558,0.0370158883972572,0.06885508660778672,0.05438183721759597,0.027079582806431374,0.03935150156690671,0.02759272471498122,0.09673869075769476
1개월 평균 일중변동률,0.07288942537758228,0.09657131606886836,0.09889668368890203,0.13261271659360307,0.11218850654039576,0.1896069735040972,0.095284413537194,0.08498153757954212,0.10648009894936022,0.13482284505132555,0.13813129564303853,0.16143808614479874,0.17057699629168413,0.2320713079027921,0.20243107539683655,0.19433294502831636,0.18757775235270666,0.14679243066611405,0.19652687027987198,0.13121346601071845,0.15588060813991453,0.15551257127551285,0.13337674110394754,0.12730079677992626,0.13481502688335847,0.15017220464226946,0.1433160586556845,0.13491322018504878,0.11587541896428137,0.10641025407047602,0.041070971586012965,0.06161591663360614
1달 후 시장 회전율,0.08761540763687257,0.06705192167330835,0.05399143446369039,0.1013998644971171,0.09574932457839043,0.07124935898582753,0.1143030241847397,0.08391261294118275,0.0944365762870408,0.09916903871304884,0.1242679198225211,0.1615425300039189,0.06966621342488086,0.07934063112332565,0.05532707121851229,0.043162463058825484,0.0666232992999917,0.061216356847445925,0.05214979846000645,0.04353601317115279,0.05303937244220976,0.03120665348631142,0.018683151728900414,0.0158433544458215,0.033220284106946094,0.01429713548236687,0.01336956870751328,0.03709350916104112,0.12137044099487382,0.07608460482960881,0.03021198940683508,0.029144968811474225
