,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.17459138520966408,0.19159862368749694,0.1297679370010896,0.05881627373990831,0.07502453865260011,0.08657077003486087,0.06582790812125973,0.04293192987266061,0.043126223483863566,0.08358942819311825,0.06759924140975268,0.07363822604251531,0.02586714508225784,0.049274324384890884,0.0659344708281385,0.09098205387509692,0.10633096317679584,0.0803082334438372,0.07245390156376638,0.07656724177828314,0.06313926391588445,0.06518625540529964,0.04505816442769922,0.07237058183877806,0.07118689330196988,0.08143916509653963,0.054397749476898426,0.07009382948909562,0.08372530553811633,0.06433063978524647,0.032521849314352536,0.017516346647960247
유동비율,0.06364867680357575,0.07978914272588893,0.0969151030777378,0.07425368284862728,0.11134475962641774,0.09822772575531404,0.123543054528803,0.07189766789772807,0.08035411173552458,0.0736991905592711,0.07782428181823547,0.10449800383193232,0.1006835382500185,0.12477276977749482,0.08292685358679447,0.06835373102520861,0.04403375735240316,0.028699143020994036,0.05521580922501403,0.07520637901077583,0.0701450568403581,0.024392495979896976,0.06277321028068675,0.05920424145132165,0.04137822016073922,0.06282508749331313,0.10359553598095443,0.045690041715229376,0.03678295279150046,0.04917236548944545,0.04538470411826785,0.08491883260624362
부채비율,0.06819894838968556,0.07422081721421282,0.08566363395493125,0.10380527562449876,0.06337200418364758,0.08702365870295481,0.0718640281990313,0.07874190759356584,0.05390016457432,0.06547223293713066,0.10248107046444296,0.0916191444628002,0.06636889242108839,0.07316241678720364,0.04817412055176834,0.0524754544899565,0.0618221672906303,0.049282894704175816,0.06328020327175096,0.06571986704574351,0.05034067330872274,0.05107745270270955,0.020661261817400186,0.07551691313191684,0.11366133946114958,0.1731686220150369,0.13816626202205484,0.11752641870892568,0.11834544263951798,0.06901501201403028,0.1894560223155417,0.17729106775812722
매출액증가율,0.07575583649781524,0.18028560466143512,0.10560490683696692,0.1446263255785108,0.14569313275316625,0.07227268640511011,0.0952825437067477,0.0522081052115422,0.12873819392482186,0.09783434897348876,0.08826497270947489,0.13562000049207373,0.12000885740636663,0.14399176878791392,0.10765275000760803,0.09907375432996887,0.10274845108831253,0.12662546022859708,0.10136697019240724,0.10488762805478133,0.11019326299076666,0.2094029695697076,0.10278400522514533,0.050912536077581484,0.05371326717222955,0.0265649794311257,0.052758328444566835,0.09773771534294844,0.06782495012146901,0.041774051647018286,0.0582265137973429,0.056014667458321
IPO_PER,0.08487964570149051,0.09678398332097586,0.09345258940949708,0.12043167242612356,0.08845550001839139,0.15176515787178552,0.15429023186208618,0.11065740060991296,0.18905158316357912,0.2215058103261256,0.20122654171400786,0.12937074573111515,0.1728316272871048,0.12211340946831535,0.12841747231477438,0.1796297092949486,0.12144159123251652,0.12785531255694446,0.1636626173216072,0.12096172969339422,0.11259415785087967,0.09803119316495404,0.13899431486930985,0.07332888852186181,0.08205674682822398,0.1031727452601812,0.08900044484686555,0.11978249433150455,0.14091782760999294,0.1412815891374777,0.10260062077623264,0.1124254453784215
IPO_PBR,0.06754939932009926,0.08538954680667679,0.10609649191705653,0.08376197824039718,0.06855739922492574,0.11810687851615699,0.12000962109446095,0.14138936548360598,0.13394920644567251,0.121888965912501,0.16151083520316672,0.13908617753720964,0.11432082977307813,0.1740388338388738,0.15208254630019655,0.15604763827855644,0.15530345672696627,0.19541387231507615,0.14973960508931955,0.1557343770001415,0.14441670995366446,0.11059015791736547,0.14223347158247251,0.15618924399199124,0.17313388517014874,0.206387645935192,0.1783042774121101,0.1539013886354857,0.16486456386730358,0.14763906467402374,0.11369149991929067,0.12228202506887105
IPO_EV/EBITDA,0.10532900640607352,0.11372710672656637,0.04911862103954938,0.108575965763659,0.09697183992441598,0.08571700509748029,0.13115381446651228,0.09077419822512653,0.0681803270672497,0.11003894192763694,0.12370878358664368,0.1321240691308283,0.17931350550431294,0.11443586086762685,0.13007686126270795,0.13022141489056832,0.12612344593552374,0.18554953389657744,0.07144849067483135,0.12601505344766506,0.15688516666185404,0.1262185770440483,0.14315257945465504,0.11698724721092242,0.10619513433264112,0.11858019702833456,0.15022813868644586,0.13747734874733702,0.1834427074954492,0.1774532602127882,0.1394938242274329,0.10135396264892962
1년 전 대비 시장수익률,0.2497841639600221,0.06327829122677289,0.0702082102802637,0.08264046669314284,0.04933787764464874,0.09697723966996373,0.05907159000923519,0.23315880884899925,0.10284934358390316,0.06500495236746283,0.0757300537937204,0.07384381252235499,0.06414893128588496,0.06356227031969014,0.04840293203931,0.06618741420834379,0.12345823086661273,0.06812378846545274,0.11449816966612728,0.06598415185162518,0.07625213484329832,0.1002071272617888,0.0775494227362626,0.1332478348496263,0.12928616987827718,0.09535060058884373,0.09806643076636634,0.0812105660277958,0.08684822024285171,0.10079683044278813,0.1042653532996084,0.10476222974170864
1년 전 대비 고객예탁금 증감률,0.029126264099784662,0.0263187929170697,0.0452200116526442,0.04727541427474837,0.08414706820153993,0.04357021412702143,0.023020274510402856,0.07290203180122243,0.04873254239280998,0.03547416337545617,0.059394087360464365,0.059641355431356936,0.06853731850973402,0.08086369198015482,0.0723267312960172,0.05726594674021485,0.05892107247024874,0.029667692959724126,0.1016353878539554,0.061659381463632465,0.08764819631483024,0.05907923277645954,0.08784774457658492,0.14993456040445227,0.09525466492687584,0.03695794026076468,0.05327604163691485,0.058867850115540486,0.031897314751964286,0.07268646081677738,0.08295382984196431,0.10814688394072898
상장일 기준 국고3년시장금리,0.08113667361178929,0.08860809071290453,0.2179524948302636,0.17581294481038395,0.21709587977024652,0.15976866381935215,0.15593693350146087,0.10533858445563618,0.15111830362825554,0.12549196542780885,0.042260131940091,0.06055846481781337,0.0879193544801539,0.05378465378783568,0.16400526181268454,0.09976288286713708,0.0998168638599902,0.1084740684086211,0.10669884514122066,0.14726419065395774,0.12838537731974126,0.1558145381777702,0.1789458250297836,0.11230795252154804,0.1341336787677449,0.09555301689066843,0.08220679072682259,0.11771234688613733,0.08535071494183441,0.13585072578040416,0.1314057823899661,0.11528853875068805
Market,0.12001570055719868,0.059401724952249046,0.11112690558772383,0.1019096085927584,0.11686027520547841,0.1001053725387791,0.07934293267369964,0.1371331417019526,0.10090006320165623,0.07532369372357595,0.059128091031425245,0.06468121092384177,0.07353520142525763,0.06607020536256021,0.09491164171600391,0.07440541460523191,0.09406538906561723,0.06875518327793266,0.10761080088710111,0.09163590798973846,0.09742856949262328,0.10503363273867283,0.1147809974475437,0.13183011592520888,0.11955817119096597,0.07595385258009228,0.07784975437670126,0.08593025434315787,0.0680320833122168,0.10311133901332321,0.10620832184384628,0.10939921747770855
Value,0.08591935047588777,0.09863354561807301,0.08288923412203432,0.10425653881005992,0.0846615797225777,0.11852968049514094,0.13515122247435313,0.11427365477288182,0.13039370555883378,0.15114457272208784,0.16214872016793944,0.13352699746638438,0.1554886541881653,0.13686270139160533,0.13685895995922628,0.15529958748802444,0.1342894979650022,0.1696062395895327,0.12828357102858604,0.13423705338040026,0.1379653448221327,0.11161330937545592,0.14146012196881247,0.11550179324159182,0.12046192211033795,0.14271352940790258,0.1391776203151405,0.13705374390477576,0.16307503299091522,0.15545797134142988,0.11859531497431874,0.11202047769874073
Finance,0.09554871172518516,0.13147354707225845,0.1044878952176814,0.09537538944788629,0.09885860880395793,0.08602371022455996,0.08912938363896043,0.06144490264387418,0.0765296734296325,0.0801488001657522,0.0840423916004765,0.10134384370733039,0.07823210828993285,0.09780031993437582,0.07617204874357733,0.07772124843005773,0.07873383472703546,0.07122893284940103,0.07307922106323465,0.08059527897239596,0.07345456426393299,0.08751479341440345,0.05781916043773287,0.0645010681248995,0.06998493002402206,0.08599946350900385,0.08722946898111864,0.08276200131404979,0.07666966277265094,0.056073017233935124,0.08139727238637624,0.08393522861766303
