,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,
매출총이익률,0.10598638,0.095007841,0.116231161,0.046851695,0.126855268,0.103663772,0.089214989,0.086512789,0.079232736,0.070702767,0.037659508,0.054578551,0.059350204,0.064159808,0.045379144,0.066905532,0.046985353,0.059007342,0.040867678,0.037057856,0.101440598,0.031856705,0.046053412,0.137020416,0.082451172,0.040045763,0.09592809,0.081948225,0.065820536,0.10434398,0.084485692,0.078160159,
유동비율,0.092254363,0.082914315,0.099023584,0.141245716,0.161812808,0.097544405,0.079170109,0.113233543,0.060899865,0.064214142,0.066425378,0.101782012,0.059041497,0.095026601,0.135940846,0.116447103,0.07962328,0.172480637,0.176694091,0.056436938,0.045862228,0.078024257,0.075221501,0.076917235,0.088192946,0.102006662,0.052034097,0.056390316,0.060197527,0.047782771,0.091447181,0.083975342,
부채비율,0.132918497,0.059411701,0.150754802,0.123605337,0.070159354,0.114430797,0.095847425,0.093871383,0.019432744,0.061138646,0.098266423,0.071946408,0.059025928,0.069581619,0.054573359,0.112695768,0.118007769,0.082572466,0.070778,0.03646525,0.052803031,0.035648089,0.072442559,0.060555954,0.06844076,0.086395879,0.102831142,0.082804917,0.103834413,0.075760111,0.054407389,0.077020525,
매출액증가율,0.033940749,0.045080127,0.085278722,0.057025631,0.126785951,0.093996282,0.135450856,0.061926744,0.077261757,0.080225858,0.118022292,0.105403385,0.129639824,0.088353932,0.090857551,0.086729007,0.107350519,0.07412637,0.121490495,0.092253028,0.103550054,0.118820459,0.162330595,0.088596066,0.092167402,0.067913679,0.059531525,0.08706983,0.079465132,0.11819307,0.141545039,0.093276217,
IPO_PER,0.065040474,0.066410509,0.095258005,0.110422925,0.137741619,0.14821963,0.197794618,0.128216155,0.199359984,0.16781115,0.218501181,0.165832916,0.131672223,0.157525691,0.147804589,0.10609382,0.08729799,0.0787227,0.081038496,0.161592934,0.155879025,0.118656839,0.140308686,0.159166987,0.197176242,0.129166184,0.155809579,0.148520959,0.133881468,0.167066233,0.138831189,0.11669561,
IPO_PBR,0.079154076,0.05249008,0.077141355,0.048146467,0.077182308,0.076262352,0.069140263,0.110279592,0.138007716,0.157296346,0.075000925,0.157579429,0.162319037,0.118198749,0.141342234,0.134276533,0.140373128,0.124581381,0.116133422,0.155398877,0.149225226,0.129748083,0.122786605,0.1264749,0.158058408,0.192635447,0.192789699,0.128732225,0.104990994,0.187019783,0.117553685,0.123583889,
IPO_EV/EBITDA,0.116944124,0.181046649,0.074686214,0.037900824,0.037172265,0.085780627,0.101833015,0.102341796,0.112122237,0.10462194,0.100490899,0.077728416,0.097467188,0.059289416,0.069576616,0.067769349,0.098286487,0.079440081,0.065427147,0.096108541,0.126252052,0.167145076,0.102672893,0.116250565,0.120842952,0.120687446,0.20742979,0.167129154,0.17211541,0.120900589,0.113272935,0.117308879,
1년 전 대비 시장수익률,0.180231409,0.100799161,0.093044056,0.151259565,0.043860063,0.044517708,0.091454375,0.098862521,0.157944316,0.145294039,0.086723907,0.059607509,0.13741191,0.138587396,0.079882386,0.057999493,0.088927579,0.09154663,0.08075763,0.116238846,0.060544979,0.110231846,0.093769365,0.090119003,0.09171714,0.053637549,0.053293792,0.069163002,0.060452829,0.050806122,0.068796735,0.073080353,
1년 전 대비 고객예탁금 증감률,0.057538132,0.117378679,0.103808986,0.051262651,0.040392745,0.06924283,0.051268197,0.031910264,0.039683148,0.043885632,0.067983152,0.112484527,0.098986562,0.13237383,0.112871659,0.089863529,0.047136185,0.082264075,0.043487237,0.099688743,0.109880267,0.098847938,0.078878515,0.082752741,0.031228546,0.070549869,0.020195346,0.050600082,0.090503708,0.054366623,0.061874614,0.079926144,
상장일 기준 국고3년시장금리,0.135991796,0.199460939,0.104773115,0.232279189,0.17803762,0.166341596,0.088826153,0.172845213,0.116055496,0.10480948,0.130926335,0.093056848,0.065085627,0.076902959,0.121771617,0.161219867,0.186011711,0.155258317,0.203325803,0.148758987,0.09456254,0.111020708,0.105535869,0.062146132,0.069724432,0.136961522,0.060156939,0.127641291,0.128737984,0.073760718,0.12778554,0.156972882,
