,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,
매출총이익률,0.126117949,0.135419665,0.104050402,0.114199739,0.074524499,0.117817782,0.10111172,0.088212356,0.06862852,0.084252865,0.050635148,0.0413358,0.057054124,0.042528416,0.078072743,0.055869126,0.07286998,0.043892089,0.091045971,0.096908248,0.076282565,0.070740585,0.056441883,0.06901008,0.045101099,0.030028594,0.049362841,0.091194546,0.052960305,0.027591393,0.047069712,0.06994349,
유동비율,0.142244525,0.096005926,0.163759149,0.167736644,0.176100954,0.186030124,0.151769088,0.089908948,0.086260499,0.066019485,0.075039258,0.071060874,0.062914661,0.077187734,0.03408083,0.048897817,0.031875732,0.034576742,0.050142218,0.050548381,0.080270352,0.080173091,0.062895858,0.073772848,0.067745922,0.087068735,0.114756046,0.078200149,0.059555253,0.042658712,0.024416083,0.034556717,
부채비율,0.13993276,0.162612521,0.140237427,0.079773645,0.10217944,0.080066994,0.119810937,0.081428759,0.051520707,0.075014136,0.080318509,0.035557234,0.061977643,0.040975566,0.07009746,0.043242342,0.044937438,0.061525319,0.0305994,0.073906777,0.043434121,0.065330972,0.060864766,0.08467102,0.094077805,0.110721906,0.061956879,0.019594533,0.038897436,0.059128437,0.060622911,0.035688287,
매출액증가율,0.04312205,0.049999674,0.070210997,0.062306212,0.095696839,0.139125125,0.120849353,0.090351726,0.09218122,0.061008009,0.098619841,0.111331848,0.159391867,0.147703212,0.111188709,0.129392058,0.182459658,0.175905025,0.173942692,0.121078923,0.131047917,0.13467941,0.161334214,0.154344423,0.195577632,0.178101149,0.124138856,0.119917077,0.10575569,0.11901132,0.071280356,0.194546037,
1년 전 대비 시장수익률,0.186119055,0.130590424,0.091085263,0.069407041,0.048823014,0.049062004,0.086136694,0.111226621,0.10511028,0.058941247,0.060865316,0.084985481,0.098586995,0.151095526,0.115465066,0.153699646,0.108369467,0.115290317,0.088229993,0.079214544,0.086896911,0.114499246,0.086403761,0.099535136,0.056720696,0.058340145,0.069542137,0.070855887,0.07961366,0.045973974,0.071621578,0.081329179,
1년 전 대비 고객예탁금 증감률,0.045371849,0.070038664,0.04175349,0.048449831,0.061061835,0.081521425,0.059805597,0.026953523,0.074894988,0.059008016,0.066758755,0.145990945,0.11946153,0.11362928,0.121492834,0.088437029,0.112318912,0.084193442,0.117469822,0.136726262,0.112456663,0.09422625,0.097931162,0.060084644,0.04629645,0.061053328,0.062102254,0.055446,0.059166188,0.066056475,0.083987611,0.072775125,
상장일 기준 국고3년시장금리,0.101229423,0.114582414,0.12572307,0.117504892,0.093382022,0.104981326,0.071809263,0.140070535,0.165930303,0.060773663,0.082745964,0.139592425,0.135095711,0.142538982,0.0823139,0.117632311,0.078784481,0.099341686,0.096481957,0.059943374,0.080925796,0.092997561,0.067028516,0.031197025,0.056446709,0.023117568,0.067917926,0.049828155,0.06766652,0.042823641,0.040642404,0.089925362,
종가_PER,0.116323319,0.147697056,0.137579301,0.169975344,0.187122794,0.119507266,0.161549276,0.184862854,0.200384061,0.297816536,0.265447305,0.166178903,0.121520429,0.078900667,0.180758829,0.131868787,0.159431116,0.094717895,0.095989731,0.142870346,0.177877115,0.165834977,0.191961961,0.089262955,0.107736441,0.139118193,0.156833277,0.181643986,0.221964401,0.199095707,0.221510015,0.175243721,
종가_PBR,0.017520023,0.03068228,0.045261543,0.052317607,0.068662015,0.037283281,0.034723147,0.090780933,0.052455074,0.092520321,0.059235011,0.128382883,0.132274634,0.150237918,0.130251173,0.166256417,0.126130595,0.203000111,0.203949473,0.129957697,0.132897947,0.087961712,0.138529832,0.132310406,0.124516739,0.118296171,0.141643563,0.154766884,0.14394564,0.227713401,0.143623763,0.108900526,
종가_EV/EBITDA,0.082019045,0.062371376,0.080339357,0.118329043,0.092446587,0.084604672,0.092434925,0.096203745,0.102634346,0.14464572,0.160334894,0.075583607,0.051722407,0.0552027,0.076278456,0.064704465,0.08282262,0.087557374,0.052148744,0.108845448,0.077910613,0.093556196,0.076608046,0.205811464,0.205780506,0.194154213,0.151746222,0.178552783,0.170474908,0.169946939,0.235225568,0.137091557,
