,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,
매출총이익률,0.063352258,0.056717717,0.068479872,0.041710085,0.051463125,0.060030174,0.084881236,0.040328042,0.055621913,0.047101034,0.062647939,0.047549682,0.072874202,0.087384035,0.082621685,0.078470453,0.104906933,0.151386154,0.145966586,0.087856804,0.113766128,0.078720939,0.078934665,0.171929202,0.166641312,0.203049325,0.144685607,0.074915751,0.025390561,0.052964388,0.024230539,0.056269589,
유동비율,0.091263823,0.04531429,0.072379793,0.034184133,0.049731868,0.069990475,0.019577867,0.040341171,0.036797096,0.044466337,0.059782848,0.038756989,0.051278946,0.058577892,0.042453266,0.029845253,0.107719722,0.065974499,0.020849379,0.039169405,0.087321988,0.036103738,0.089577139,0.059901899,0.063352727,0.103513049,0.107771103,0.086820904,0.095239506,0.147046149,0.067023772,0.101729608,
부채비율,0.056058291,0.129384733,0.152434445,0.018350896,0.075792988,0.038764958,0.059367906,0.040168019,0.083935357,0.063272102,0.052821878,0.086776562,0.070087919,0.085212336,0.078298346,0.04340162,0.10214353,0.047139017,0.045842951,0.055040295,0.051795768,0.026030011,0.061495926,0.044511116,0.04485024,0.059455846,0.078592612,0.030169061,0.059386231,0.054399031,0.069362437,0.040073582,
매출액증가율,0.061898732,0.112721507,0.119515884,0.340934268,0.278816888,0.223983932,0.080787105,0.090274373,0.086490264,0.104321312,0.111185785,0.06096744,0.072924505,0.066737829,0.079553618,0.097933069,0.138346597,0.090199881,0.07107551,0.061615308,0.059230334,0.084715729,0.051887883,0.045026638,0.038930624,0.039020203,0.081196577,0.036485626,0.060550524,0.058087767,0.066993454,0.192561937,
1년 전 대비 시장수익률,0.233037157,0.096344092,0.085242492,0.09556885,0.088976013,0.072356524,0.206899313,0.143472432,0.131596396,0.092255291,0.127724699,0.144346259,0.141694726,0.095203354,0.116629889,0.097284537,0.045667796,0.084438388,0.125502633,0.116180715,0.096687085,0.13261533,0.118802384,0.078274378,0.084666136,0.076931597,0.054778778,0.058353669,0.078283378,0.048823154,0.038128317,0.060622051,
1년 전 대비 고객예탁금 증감률,0.105216613,0.124706263,0.051510705,0.095806256,0.119328675,0.074073923,0.053512071,0.038465685,0.060853052,0.104382356,0.060522345,0.091422256,0.073117687,0.040070539,0.05540931,0.062971744,0.04104505,0.09274198,0.079648989,0.087178689,0.053958468,0.100494018,0.037288994,0.057565755,0.051272083,0.055000763,0.061404177,0.046415331,0.065193296,0.052033195,0.072230681,0.026226564,
상장일 기준 국고3년시장금리,0.056143713,0.10073333,0.106932594,0.163999351,0.138726165,0.249178638,0.113128429,0.195993341,0.208637091,0.08075447,0.114206137,0.110768345,0.087116487,0.063537672,0.081554023,0.100182578,0.038450119,0.059037763,0.067176518,0.064835876,0.064917852,0.071437058,0.051119653,0.139941593,0.156238725,0.124169361,0.042400905,0.041750142,0.027281819,0.013423269,0.052860875,0.044049744,
종가_PER,0.157180907,0.143978719,0.154266898,0.053239726,0.072068024,0.063039035,0.162771642,0.148299821,0.137624448,0.181742858,0.217037515,0.217553723,0.161967685,0.202342374,0.283193497,0.257967709,0.147021006,0.148019769,0.196876848,0.158495606,0.184087147,0.153447753,0.215583741,0.138722549,0.152298139,0.116822906,0.133015242,0.248148744,0.269329521,0.204071244,0.21400573,0.128848843,
종가_PBR,0.066763563,0.090820354,0.094366227,0.065788168,0.039662463,0.06169859,0.057104966,0.06698029,0.058257664,0.073439654,0.028860348,0.045594386,0.058964843,0.041949875,0.016533922,0.057376729,0.121816159,0.144258262,0.086159118,0.177796986,0.141506169,0.179361243,0.15368897,0.114675716,0.104018857,0.074859397,0.172716885,0.143817047,0.114040856,0.140942034,0.13151269,0.148323992,
종가_EV/EBITDA,0.109084942,0.099278997,0.09487109,0.090418264,0.085433792,0.086883751,0.161969467,0.195676826,0.140186719,0.208264587,0.165210507,0.156264358,0.209973001,0.258984094,0.163752444,0.174566308,0.152883088,0.116804288,0.160901467,0.151830317,0.14672906,0.137074182,0.141620645,0.149451153,0.137731157,0.147177554,0.123438113,0.233123724,0.205304307,0.228209769,0.263651504,0.201294089,
