,rlf_mean,by3_mean
정확도,0.632205961873457,0.8329985076403543
정밀도,0.6780560076873926,0.0
재현율,0.7628824883042241,0.0
f1_score,0.6435897727154273,0.834838752116491
정확도_test,0.3256992498631538,0.5916891665975552
정밀도_test,0.48050072994479015,0.0
재현율_test,0.5736471431323164,0.0
f1_score_test,0.30847053397771934,0.5568156649458215
