,smote_mean,ros_mean
정확도,0.632205961873457,0.6620281217476083
정밀도,0.6780560076873926,0.6974600727015974
재현율,0.7628824883042241,0.7925176812399167
f1_score,0.6435897727154273,0.6689401348835288
정확도_test,0.3256992498631538,0.3046460147151429
정밀도_test,0.48050072994479015,0.4729888848362677
재현율_test,0.5736471431323164,0.6125462708802494
f1_score_test,0.30847053397771934,0.2881678289760186
