상장유형,시장구분,종목명,상장일,공모가,공모금액,공모주식수,신주모집,구주매출,경쟁률,상장주식수,유통가능주식수,상장주선인
신규상장,KQ,차이나하오란,2010-02-05,4700 ,47000000 ,,,,,40000000 ,,신한금융투자(주)
신규상장,KQ,하이소닉,2010-02-09,13000 ,10400000 ,,,,,4762169 ,,한화투자증권(주)
신규상장,KQ,인포바인,2010-02-09,33000 ,14850000 ,,,,,2970000 ,,한국투자증권(주)
신규상장,KQ,이미지스,2010-02-26,6000 ,9960000 ,,,,,4913521 ,,교보증권(주)
신규상장,KQ,미래에셋스팩1호,2010-03-12,1500 ,20000001 ,,,,,13933334 ,,미래에셋증권(주)
신규상장,KQ,삼기,2010-03-19,6000 ,20004000 ,,,,,3859000 ,,현대증권(주)
신규상장,KQ,지트리비앤티,2010-03-26,11000 ,11510895 ,,,,,4182000 ,,교보증권(주)
신규상장,KQ,씨케이에이치,2010-03-31,3700 ,88800000 ,,,,,80000000 ,,엔에이치투자증권주식회사
신규상장,KQ,케이씨에스,2010-04-14,1600 ,5760000 ,,,,,12000000 ,,삼성증권(주)
신규상장,KQ,애머릿지,2010-04-21,7500 ,13875000 ,,,,,7000000 ,,(주)골든브릿지투자증권
신규상장,KQ,이스트아시아홀딩스,2010-04-23,5000 ,29995000 ,,,,,23000000 ,,교보증권(주)
신규상장,KQ,모바일리더,2010-05-25,15000 ,9000000 ,,,,,2998000 ,,한화투자증권(주)
신규상장,KQ,서진오토모티브,2010-05-25,5000 ,37500000 ,,,,,8250000 ,,신한금융투자(주)
신규상장,KQ,인피니트헬스케어,2010-05-26,5200 ,15600000 ,,,,,23470467 ,,삼성증권(주)
신규상장,KQ,투비소프트,2010-06-01,8000 ,3160000 ,,,,,2048120 ,,한국투자증권(주)
신규상장,KQ,LX세미콘,2010-06-08,67000 ,67000000 ,,,,,6505720 ,,한국투자증권(주)
신규상장,KQ,엑스큐어,2010-06-09,5000 ,4375000 ,,,,,4373900 ,,한국투자증권(주)
신규상장,KQ,히든챔피언스팩1호,2010-06-11,2000 ,30000000 ,,,,,16100000 ,,삼성증권(주)
신규상장,KQ,오르비텍,2010-06-15,8500 ,15300000 ,,,,,7117336 ,,교보증권(주)
신규상장,KQ,유비벨록스,2010-06-18,11000 ,11000000 ,,,,,5410776 ,,한국투자증권(주)
신규상장,KQ,지유온,2010-06-18,13000 ,11465766 ,,,,,3150000 ,,엔에이치투자증권주식회사
신규상장,KQ,알톤스포츠,2010-07-02,1000 ,19700000 ,,,,,20220000 ,,신영증권(주)
신규상장,KQ,한화SV스팩1호,2010-07-09,5000 ,20000000 ,,,,,4200000 ,,한화투자증권(주)
신규상장,KQ,에스디시스템,2010-07-16,14800 ,14060000 ,,,,,3800000 ,,대우증권(주)
신규상장,KQ,크루셜텍,2010-07-21,23500 ,28326618 ,,,,,8289547 ,,미래에셋증권(주)
신규상장,KQ,웨이포트,2010-07-23,1400 ,19558000 ,,,,,55880000 ,,메리츠종합금융증권(주)
신규상장,KQ,하이텍팜,2010-07-28,11500 ,24150000 ,,,,,7000000 ,,에이치엠씨투자증권(주)
신규상장,KQ,인터로조,2010-07-28,12000 ,12134208 ,,,,,4814000 ,,한화투자증권(주)
신규상장,KQ,이글루시큐리티,2010-08-04,14000 ,21000000 ,,,,,7500000 ,,미래에셋증권(주)
신규상장,KQ,엠에스오토텍,2010-08-06,5500 ,15840000 ,,,,,8200000 ,,에이치엠씨투자증권(주)
신규상장,KQ,한국스팩1호,2010-08-24,2200 ,23100000 ,,,,,11290000 ,,한국투자증권(주)
신규상장,KQ,대신증권그로쓰스팩,2010-08-24,2000 ,20000000 ,,,,,10960000 ,,대신증권(주)
신규상장,KQ,에스비아이앤솔로몬스팩,2010-08-24,1250 ,20000000 ,,,,,17000000 ,,아이엠투자증권(주)
신규상장,KQ,코리아에프티,2010-08-27,4000 ,25000000 ,,,,,6784000 ,,"교보증권(주),KTB투자증권(주)"
신규상장,KQ,화신정공,2010-08-31,2000 ,23560000 ,,,,,12500000 ,,에이치엠씨투자증권(주)
신규상장,KQ,씨젠,2010-09-10,30500 ,19413250 ,,,,,6158820 ,,"대신증권(주),대우증권(주)"
신규상장,KQ,와이솔,2010-09-10,8000 ,8000000 ,,,,,10200000 ,,한화투자증권(주)
신규상장,KQ,하이비젼시스템,2010-09-10,2000 ,19000000 ,,,,,10210000 ,,이베스트투자증권(주)
신규상장,KQ,다원시스,2010-09-14,11000 ,14868810 ,,,,,6400000 ,,하이투자증권(주)
신규상장,KQ,성융광전투자유한공사,2010-09-15,2800 ,50400000 ,,,,,72000000 ,,대우증권(주)
신규상장,KQ,알파홀딩스,2010-09-17,12000 ,7200000 ,,,,,4016448 ,,현대증권(주)
