종목명,상장유형,공모가,상장일,상장주식수,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA
톱텍,신규상장,10400,2009-09-15,5600000,0.115499118,0.06707236,0.350836691,1.25869227,1.009270067,1.533230091,34.49365912,32.24992384,13.28077603,0.926737869,0.862097328,12.60553128,4.422482889,13.33853599
디에스케이,신규상장,5000,2009-09-23,6000000,0.240054624,0.142936903,0.259873654,2.425656829,1.568233889,0.736143404,25.71658546,7.797976301,3.686500676,0.025215372,1.753784278,10.70333009,2.781513505,10.86311348
모린스,신규상장,39000,2009-09-25,7093439,0.302392997,0.229800941,0.403718269,4.427359164,3.237046527,0.188231016,34.05291518,18.43629894,9.306443227,66.93600295,-4.078961835,26.85015953,10.83989992,22.51375723
케이엔더블유,신규상장,11000,2009-09-29,4400000,0.254698602,0.120253392,0.274084314,2.001218157,1.730826591,1.50751912,6.099321541,6.47156156,15.16967723,0.211968719,0.494988228,15.35545661,4.208689797,8.773841208
아이앤씨,신규상장,16000,2009-10-06,11581182,0.579193258,0.373658039,0.531317926,2.815116829,1.794874637,1.007462486,10.808178,3.525008174,5.254818416,2.386423099,-10.15173703,25.86787539,13.74406589,16.68478523
NHN벅스,신규상장,9000,2009-10-06,10140936,0.368807723,0.157097543,0.275069883,1.145964064,1.145964013,1.356881771,5.599854873,5.201986823,,1.195312957,3.496712216,22.27975724,6.128490209,17.62414542
한스바이오메드,신규상장,5500,2009-10-09,7766243,0.440620481,0.146854702,0.121473271,4.930204984,3.769862266,0.22082852,37.46564154,2.258524203,4.707252108,0.167637675,0.067174125,20.32702511,2.469190224,15.05383781
스틸플라워,신규상장,13500,2009-10-27,13000000,0.335741063,0.245251044,0.246599307,1.149502355,0.451438712,1.035477381,10.72298128,10.49294359,4.501720744,0.769427336,2.44295985,11.63119682,2.868245079,4.458907569
비츠로셀,신규상장,5500,2009-10-28,12676375,0.314268857,0.179470838,0.385186824,2.285651612,1.49395697,0.499764216,13.93142393,7.601997705,8.580783564,0.253241446,2.405485264,11.5360644,4.443540006,8.603042496
상상인인더스트리,신규상장,6300,2009-11-06,4334000,0.170501689,0.080480751,0.168391622,0.939685249,0.244175146,3.724632896,2.253971682,10.25180525,1.353733538,1.131597093,0.42456496,10.91938256,1.838732539,5.896954352
진매트릭스,신규상장,8000,2009-11-06,3761000,1,0.28598087,0.162940463,24.18017664,24.18018288,0.090962569,61.37417067,5.767355571,,0.158089245,0.179870211,38.86434679,6.332574665,49.54145705
동방선기,신규상장,4000,2009-11-10,6000000,0.193550706,0.10686143,0.263423687,0.800292579,0.338876832,0.954498627,6.503070944,8.648056473,6.127520705,0.508347562,0.942426625,3.721171965,0.98024484,3.957459636
에이프로젠 H&G,신규상장,10000,2009-11-13,1875000,0.266875369,0.13982176,0.669724961,2.413849001,2.077332455,1.162007393,16.98197235,4.498125176,16.91585849,0.692993152,4.505374447,4.532808833,3.035735218,4.917000136
강원,신규상장,4700,2009-11-20,5300000,0.208840398,0.109689408,0.144891161,1.923905351,1.860086473,0.77355171,514.4369391,3.008365928,44.04052252,-0.218714649,-0.34750718,9.616305177,1.393317624,5.558312666
이원컴포텍,신규상장,2000,2009-12-01,5000000,0.153735661,0.067143244,0.154984117,1.531043719,1.204754951,0.685617887,109.8368145,19.84253352,13.36123402,-0.04190046,0.103348448,8.778066771,1.360460924,4.544217014
에스앤씨엔진그룹,신규상장,6000,2009-12-04,40000000,0.289145348,0.247365017,0.307653525,1.924151859,1.518058349,0.230332594,101.9737118,8.229839284,16.62038799,,,9.998232812,3.075991564,
셀바스AI,신규상장,9000,2009-12-10,3577166,0.489981913,0.092205224,0.235555284,1.440704819,1.440704819,1.141115893,67.58725044,2.738274189,,0.75776506,1.283829799,28.3200057,6.670926982,25.28903257
멜파스,신규상장,43200,2009-12-18,5149001,0.226600577,0.055010817,0.151205778,1.78738381,1.016412539,0.630556887,39.37591458,5.883409414,4.048211268,-0.011689779,-0.789675095,77.89956865,11.77886489,85.85135317
위메이드,신규상장,62000,2009-12-18,7140000,0.923238706,0.452763861,0.326545698,4.419111071,4.419058388,0.443570986,66.42526094,3.389258809,78397.97452,0.842309722,1.505689449,17.99525728,5.876273851,12.49076352
ITX-AI,신규상장,6000,2009-12-22,5733000,0.320826243,0.119995039,0.379833031,1.366171338,0.796114902,1.481698433,8.694241789,5.561936169,6.064918946,0.241055825,0.33827897,7.787735641,2.958039236,5.318453787
디와이피엔에프,신규상장,12000,2009-12-22,6500000,0.222935035,0.174025326,0.473877567,1.142358333,1.135892088,2.128681201,16.03489893,2.64807609,336.5182974,0.737009073,1.173375944,17.99648792,8.528131902,11.66799734
KPX생명과학,신규상장,6200,2009-12-22,15000000,0.15459907,0.118246623,0.225630244,4.201465405,2.688925293,0.25201572,inf,4.768153106,4.957202103,0.333647835,1.614646127,14.07065587,3.174765516,12.60097246
글로벌에스엠,신규상장,3200,2009-12-23,31694020,0.263819699,0.130173266,0.186284093,1.767234676,1.44116946,0.706123518,39.29163155,3.713713293,8.425984664,,,10.14141098,1.889183546,
코디,신규상장,6000,2010-01-05,4868354,0.297837907,0.112030281,0.19587005,1.046079512,0.586486169,1.195992993,4.65929927,35.50135128,5.581725942,0.77402056,0.902492358,19.5672868,3.832645446,11.57929546
승화프리텍,신규상장,6700,2010-01-06,5334000,0.175886315,0.092117465,0.257025893,1.033174383,1.033174383,1.526689681,8.40919834,5.099669146,,-0.077289469,0.220882565,19.66118405,5.053433379,8.654837287
폴라리스우노,신규상장,6500,2010-01-15,10500000,0.467820757,0.31883438,0.360357674,5.246947221,4.404839717,0.356931817,70.58632961,5.268461588,8.343255025,0.801960111,1.810366979,14.48822495,5.220943042,12.32269917
아세아텍,신규상장,4100,2010-01-26,17500000,0.223632622,0.086664219,0.171907677,2.281267411,0.931711078,0.57017635,15.01494954,15.09223442,3.339587689,0.177019918,-0.049954626,10.53767863,1.811507849,7.959663091
우리넷,신규상장,6700,2010-01-27,5528580,0.283992631,0.184237979,0.489036844,2.562296687,1.929931735,0.559897796,81.62631433,4.106328889,8.230596008,2.340266509,3.990579145,5.743865212,2.808961715,5.101014066
스타플렉스,신규상장,15000,2010-01-27,5400000,0.179735696,0.073548042,0.144980748,0.74748616,0.414743333,1.2806899,3.502958171,11.54380764,6.54695853,0.240047346,0.410513392,19.27360404,2.794301529,7.825929496
금강제강,신규상장,15000,2010-02-02,5600000,0.186792151,0.148156897,0.481929001,1.125541436,0.912311137,1.342181087,18.24451474,4.809918671,17.32650585,0.884200025,6.013900748,6.092144557,2.935981141,4.173763708
모베이스,신규상장,13200,2010-02-04,6000000,0.168874139,0.091503189,0.240873243,1.415127995,1.236279327,0.915470159,21.43946629,10.46194349,27.53836563,0.828049022,1.713515392,10.28100105,2.476418059,5.918937767
지스마트글로벌,신규상장,17500,2010-02-04,4697433,0.290053608,0.158189737,0.688154285,1.807412132,1.082007158,0.94323356,17.2221288,9.025877753,6.757882139,4.74703054,4.42438486,7.713612343,5.308155387,7.100789625
차이나하오란,신규상장,4700,2010-02-05,40000000,0.165090756,0.117714225,0.533539316,1.171268078,0.943545972,3.819313472,2.667108351,4.74863418,10.47489894,,,18.37645398,9.804560685,10.80827142
하이소닉,신규상장,13000,2010-02-09,4762169,0.181519176,0.101778111,0.312790075,1.257890847,0.967762634,1.100879,9.305450223,10.9709461,15.45697025,0.803142186,0.724623438,22.54394468,7.051522147,12.68726074
인포바인,신규상장,33000,2010-02-09,2970000,1,0.521566183,0.441734611,3.257908899,3.257908899,0.350846613,1835.949232,3.029227432,,0.588212105,1.025979926,27.90187627,12.32522446,20.63310085
이미지스,신규상장,6000,2010-02-26,4913521,0.475212336,0.226822607,0.384857574,7.272295944,5.952564014,0.155340408,inf,4.931923262,9.600741766,2.690508411,5.06964143,9.824062035,3.780864682,8.169989844
삼기,신규상장,6000,2010-03-19,3859000,0.129093427,0.070799835,0.020088266,0.383552573,0.174767409,3.319939889,1.461377032,5.459203007,3.236218649,,,87.635831,1.760451875,8.495301489
지트리비앤티,신규상장,11000,2010-03-26,4182000,0.343154175,0.160539406,0.155521925,12.19266807,12.1926693,0.284411724,245.9643521,3.117534443,,0.021734029,-0.460389972,23.73369476,3.691109899,28.59708472
씨케이에이치,신규상장,3700,2010-03-31,80000000,0.695434992,0.47592419,0.608296289,1.253688021,1.020236307,0.501835356,inf,4.51844534,14.85249547,1.309990313,1.49331538,8.871142342,5.396282967,6.348564567
케이씨에스,신규상장,1600,2010-04-14,12000000,0.180149522,0.045841463,0.186401815,2.285307946,2.243699244,0.664109214,inf,3.152725331,76.07394448,-0.38929559,-0.729309519,9.058979619,1.688610245,15.14593969
애머릿지,신규상장,7500,2010-04-21,7000000,0.205730512,0.070457626,0.422559015,0.986991615,0.593867398,1.282311206,5.891127423,7.4195826,8.165791448,-0.18254347,1.784362457,11.00307373,4.649448004,14.26318916
이스트아시아홀딩스,신규상장,5000,2010-04-23,23000000,0.268661693,0.200253384,0.536118552,2.002278705,1.63368653,0.633839978,34.29022111,7.158144561,14.16093568,,,5.936321237,3.182571948,4.570451593
모바일리더,신규상장,15000,2010-05-25,2998000,0.423109714,0.305246847,0.258920121,13.01585538,13.01585403,0.109410764,1944.033248,3.757569699,,0.168103769,0.442570341,13.04928055,3.378721299,13.84964562
서진오토모티브,신규상장,5000,2010-05-25,8250000,0.183069515,0.092967253,0.056377335,0.714097823,0.482421292,1.387792263,3.472131763,5.398957524,8.265718851,0.113409194,0.499274997,16.48621752,0.929449007,3.31548843
인피니트헬스케어,신규상장,5200,2010-05-26,23470467,0.452446769,0.134167323,0.151423087,1.784020989,1.751059686,0.67687377,8.938541731,2.841839401,76.19998719,0.061277813,0.90847108,26.87231027,4.069088185,14.8286514
투비소프트,신규상장,8000,2010-06-01,2048120,0.507060237,0.139069521,0.226197732,3.115304415,3.115304415,0.378560553,24.65053644,2.282980812,,0.10598825,0.212454658,7.644863162,1.729250709,4.647776131
LX세미콘,신규상장,67000,2010-06-08,6505720,0.282103082,0.191160797,0.415646587,4.552631392,4.236470703,0.258383628,inf,7.887268133,25.43651069,0.510783272,0.709376166,11.32146586,4.705728645,11.69346228
