,Market,Value,Finance
Market,0.0(0.0),-0.004(-0.397),0.024(3.013***)
Value,0.004(0.397),0.0(0.0),0.028(4.327***)
Finance,-0.024(-3.013***),-0.028(-4.327***),0.0(0.0)
