,Market,Value,Finance,Trading
Market,0.0(0.0),0.018(3.853***),0.017(3.193***),-0.037(-5.741***)
Value,-0.018(-3.853***),0.0(0.0),-0.001(-0.335),-0.055(-10.698***)
Finance,-0.017(-3.193***),0.001(0.335),0.0(0.0),-0.054(-9.452***)
Trading,0.037(5.741***),0.055(10.698***),0.054(9.452***),0.0(0.0)
