,Market,Value,Finance
Market,0.0(0.0),-0.036(-6.538***),0.011(2.35**)
Value,0.036(6.538***),0.0(0.0),0.047(9.755***)
Finance,-0.011(-2.35**),-0.047(-9.755***),0.0(0.0)
