,Market,Value,Finance
Market,0.0(0.0),-0.043(-6.115***),-0.001(-0.244)
Value,0.043(6.115***),0.0(0.0),0.042(6.302***)
Finance,0.001(0.244),-0.042(-6.302***),0.0(0.0)
