,Market,Value,Finance
Market,0.0(0.0),-0.025(-4.266***),0.012(2.764***)
Value,0.025(4.266***),0.0(0.0),0.038(7.066***)
Finance,-0.012(-2.764***),-0.038(-7.066***),0.0(0.0)
