,Market,Value,Finance
Market,0.0(0.0),-0.053(-6.685***),0.011(1.836*)
Value,0.053(6.685***),0.0(0.0),0.064(9.177***)
Finance,-0.011(-1.836*),-0.064(-9.177***),0.0(0.0)
