,공모가 대비 1개월,공모가 대비 3개월,공모가 대비 6개월
정확도,0.5984080422995107,0.6122397448648328,0.6044655072136434
정밀도,0.6319145623599114,0.6794394768031939,0.6892580961774859
재현율,0.723996785459313,0.7401059978382202,0.7384386501734609
f1_score,0.609116492175293,0.6184137372414199,0.6097005347972918
정확도_test,0.32597097153649107,0.2934773189608987,0.2805115538000343
정밀도_test,0.4263541981362723,0.4599964019004058,0.4694924491899187
재현율_test,0.5469705532712256,0.5273522765508801,0.5637555024473562
f1_score_test,0.2914583387088248,0.2468740522730962,0.2537273221253609
