,공모가 대비 1개월,공모가 대비 3개월,공모가 대비 6개월,1개월 대비 3개월,3개월 대비 6개월,종가 대비 1개월,종가 대비 3개월,종가 대비 6개월
정확도,0.632205961873457,0.6517164521447243,0.6456646097938983,0.6752889393578966,0.6943175125865694,0.6149692083684808,0.645922134405068,0.6440757522969757
정밀도,0.6780560076873926,0.7160300556096528,0.71166995171076,0.45918808835814157,0.48257743620377413,0.37456087496282015,0.49894701232602495,0.5181697832445492
재현율,0.7628824883042241,0.7807858299335462,0.7631099769269238,0.8547737104233272,0.8831142245599011,0.8747506007515493,0.8589175331592942,0.8491530589723504
f1_score,0.6435897727154273,0.6588240564678373,0.6494537823784478,0.7003110013911762,0.7127384074737161,0.6371595937922327,0.6596990142026911,0.6564031065434588
정확도_test,0.3256992498631538,0.31159822532919446,0.30403303628068523,0.37560727411936023,0.3549847727875271,0.30230175788369334,0.3355809316371511,0.32602493711598474
정밀도_test,0.48050072994479015,0.45187334522879413,0.47408499305377355,0.16970909545463747,0.24502171595667974,0.1317508554764309,0.21083501153711579,0.2614915250588533
재현율_test,0.5736471431323164,0.6171222280120872,0.588335351995691,0.3754407918470419,0.49999467887311344,0.4036874583749584,0.4382902244599225,0.4718629621904583
f1_score_test,0.3084705339777194,0.2913704303469471,0.2856753818783686,0.4174894409502758,0.3819204898145762,0.32701684640019707,0.34699567040085855,0.33157520035951643
