,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.7202380952380952,0.6818181818181818,0.6866666666666666,0.71875,0.6577181208053692,0.7272727272727273,0.7410071942446043,0.6510067114093959,0.7122302158273381,0.5821917808219178,0.7124183006535948,0.6529411764705882,0.6705202312138728,0.672316384180791,0.659217877094972,0.6600985221674877,0.696078431372549,0.6666666666666666,0.6767241379310345,0.6592920353982301,0.6410256410256411,0.6778242677824268,0.6625514403292181,0.6115702479338843,0.582995951417004,0.5983263598326359,0.5737704918032787,0.5965665236051502,0.5708154506437768,0.5775862068965517,0.5483870967741935,0.6083333333333333
정밀도,0.7794117647058824,0.6438356164383562,0.703125,0.6707317073170732,0.6753246753246753,0.7123287671232876,0.7903225806451613,0.8266666666666667,0.8591549295774648,0.8095238095238095,0.881578947368421,0.8536585365853658,0.776595744680851,0.7816091954022989,0.8461538461538461,0.7674418604651163,0.7938144329896907,0.7857142857142857,0.7378640776699029,0.6696428571428571,0.7053571428571429,0.7168141592920354,0.7169811320754716,0.5772357723577236,0.6,0.5964912280701754,0.556390977443609,0.6226415094339622,0.5818181818181818,0.6116504854368932,0.5871559633027523,0.6759259259259259
재현율,0.803030303030303,0.8392857142857143,0.8035714285714286,0.8870967741935484,0.8524590163934426,0.8666666666666667,0.8305084745762712,0.7948717948717948,0.7922077922077922,0.6455696202531646,0.8072289156626506,0.7777777777777778,0.8021978021978022,0.7472527472527473,0.7333333333333333,0.6804123711340206,0.8020833333333334,0.6875,0.7450980392156863,0.7731958762886598,0.7745098039215687,0.7788461538461539,0.7169811320754716,0.7802197802197802,0.7659574468085106,0.7555555555555555,0.8222222222222222,0.8571428571428571,0.8205128205128205,0.7777777777777778,0.6956521739130435,0.7684210526315789
f1_score,0.7192805961617234,0.6796351796351796,0.6853479853479854,0.7197743801373337,0.6576793309979088,0.7310208218116688,0.7481167746551084,0.6528649997297901,0.7186701124537265,0.5909557919977624,0.7249572357832683,0.6686158084845593,0.6744163680360626,0.6774953217866927,0.6704964854928649,0.6639783968159289,0.7020555693897788,0.6707811791995053,0.6839585256899489,0.6692785002504578,0.6526603705084266,0.6812069788387751,0.6678002506653163,0.617750977841828,0.6020334504037437,0.6085664161788715,0.5962698925315203,0.605255083960795,0.580590247966565,0.589527962998689,0.555197051252451,0.6161317599665564
정확도_test,0.3333333333333333,0.3333333333333333,0.25,0.32608695652173914,0.4666666666666667,0.35714285714285715,0.3770491803278688,0.30985915492957744,0.2857142857142857,0.26865671641791045,0.31666666666666665,0.29411764705882354,0.25,0.26666666666666666,0.36,0.29310344827586204,0.3333333333333333,0.32142857142857145,0.23404255319148937,0.22580645161290322,0.22413793103448276,0.23214285714285715,0.3548387096774194,0.46774193548387094,0.3492063492063492,0.3,0.28125,0.15517241379310345,0.2318840579710145,0.3230769230769231,0.375,0.47368421052631576
정밀도_test,0.8181818181818182,0.52,0.4583333333333333,0.6129032258064516,0.6842105263157895,0.5952380952380952,0.6551724137931034,0.4411764705882353,0.42105263157894735,0.4727272727272727,0.42105263157894735,0.21428571428571427,0.18518518518518517,0.16666666666666666,0.4090909090909091,0.3125,0.45454545454545453,0.5185185185185185,0.4318181818181818,0.3888888888888889,0.35135135135135137,0.3333333333333333,0.26666666666666666,0.42105263157894735,0.16666666666666666,0.35294117647058826,0.46875,0.4827586206896552,0.5428571428571428,0.5901639344262295,0.6176470588235294,0.6842105263157895
재현율_test,0.47368421052631576,0.7647058823529411,0.6875,0.6333333333333333,0.896551724137931,0.78125,0.5428571428571428,0.967741935483871,0.9696969696969697,0.896551724137931,0.64,0.42857142857142855,0.3333333333333333,0.1111111111111111,0.34615384615384615,0.22727272727272727,0.6,0.56,0.95,0.875,0.6190476190476191,0.6111111111111112,0.21052631578947367,0.47058823529411764,0.23529411764705882,0.6,0.5555555555555556,0.4375,0.475,0.972972972972973,0.875,1.0
f1_score_test,0.37037037037037035,0.23423423423423423,0.2502374169040836,0.2789855072463769,0.37134680134680137,0.28721438312320835,0.36463612302263076,0.22178106345463428,0.18435223313272095,0.264112131649445,0.34627039627039624,0.3263995064510071,0.2738196988196988,0.3037037037037037,0.3873144697492523,0.31472263868065964,0.360251373324544,0.3095919518159507,0.17739707101409227,0.1710789766407119,0.21814847356423323,0.24902738873327107,0.36159606522509746,0.4664432341851696,0.3716468716468716,0.30894179894179896,0.28824753752345217,0.17828106852497097,0.22281565427255742,0.20940170940170946,0.3356944444444444,0.3157894736842105
