,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.6845238095238095,0.6948051948051948,0.6866666666666666,0.65,0.7114093959731543,0.7062937062937062,0.6906474820143885,0.6912751677852349,0.6762589928057554,0.6712328767123288,0.6209150326797386,0.7,0.630057803468208,0.655367231638418,0.6480446927374302,0.6502463054187192,0.6323529411764706,0.6384976525821596,0.6293103448275862,0.6592920353982301,0.6538461538461539,0.6485355648535565,0.6337448559670782,0.640495867768595,0.5465587044534413,0.5815899581589958,0.6434426229508197,0.6223175965665236,0.5879828326180258,0.5905172413793104,0.5766129032258065,0.6166666666666667
정밀도,0.46296296296296297,0.46153846153846156,0.47058823529411764,0.4426229508196721,0.6,0.5555555555555556,0.5172413793103449,0.625,0.5892857142857143,0.6153846153846154,0.5087719298245614,0.5753424657534246,0.47435897435897434,0.525,0.5774647887323944,0.5657894736842105,0.5060240963855421,0.5,0.5340909090909091,0.5,0.5357142857142857,0.4742268041237113,0.48863636363636365,0.4578313253012048,0.36607142857142855,0.3942307692307692,0.515625,0.42105263157894735,0.4482758620689655,0.43333333333333335,0.4020618556701031,0.4222222222222222
재현율,1.0,0.9230769230769231,0.96,0.9310344827586207,0.8275862068965517,0.8620689655172413,1.0,0.7954545454545454,0.8048780487804879,0.8,0.725,0.8936170212765957,0.7872340425531915,0.8936170212765957,0.8913043478260869,0.8113207547169812,0.84,0.9230769230769231,0.8103448275862069,0.7843137254901961,0.8181818181818182,0.8214285714285714,0.7678571428571429,0.8837209302325582,0.9111111111111111,0.9111111111111111,0.7021276595744681,0.8205128205128205,0.9069767441860465,0.9069767441860465,0.8666666666666667,0.9047619047619048
f1_score,0.6935210864843504,0.7106426144897401,0.6999781651188004,0.6620569381598793,0.7149325725692435,0.7190276390276389,0.6943666884674079,0.6920015107934571,0.6778362648882442,0.6738178109473657,0.624749813611629,0.7066476243216867,0.6475845236706513,0.6694534222460511,0.6642698332969382,0.6586441082750081,0.6481604763117368,0.6544080222826705,0.6477942643571553,0.6680973554205343,0.6657827558014126,0.6620884811364948,0.6388479909671204,0.664103289897449,0.5952761140672522,0.6121613906538655,0.652250481813996,0.6377479135756265,0.6032372886932091,0.6104835669519386,0.609462934330997,0.6309355118565646
정확도_test,0.16666666666666666,0.43333333333333335,0.3333333333333333,0.32608695652173914,0.4222222222222222,0.23214285714285715,0.26229508196721313,0.2676056338028169,0.2597402597402597,0.3880597014925373,0.35,0.29411764705882354,0.40384615384615385,0.5833333333333334,0.28,0.29310344827586204,0.2,0.2857142857142857,0.2765957446808511,0.4032258064516129,0.4482758620689655,0.35714285714285715,0.3870967741935484,0.3548387096774194,0.2698412698412698,0.36666666666666664,0.40625,0.3103448275862069,0.37681159420289856,0.35384615384615387,0.225,0.42105263157894735
정밀도_test,0.21052631578947367,0.38461538461538464,0.2727272727272727,0.36,0.47368421052631576,0.28,0.34375,0.13636363636363635,0.20754716981132076,0.20833333333333334,0.21739130434782608,0.0,0.16666666666666666,0.5,0.23333333333333334,0.08695652173913043,0.2,0.10344827586206896,0.14705882352941177,0.3076923076923077,0.2,0.16666666666666666,0.22580645161290322,0.25,0.18181818181818182,0.2857142857142857,0.16666666666666666,0.15789473684210525,0.14705882352941177,0.125,0.0,0.0
재현율_test,0.4444444444444444,0.625,0.6,0.47368421052631576,0.5,0.3888888888888889,0.6470588235294118,0.46153846153846156,0.7857142857142857,0.35714285714285715,0.35714285714285715,0.0,0.1111111111111111,0.08333333333333333,0.4117647058823529,0.2,0.42857142857142855,0.25,0.625,0.7272727272727273,0.625,0.7142857142857143,0.875,0.6666666666666666,0.5,0.6666666666666666,0.25,0.25,0.625,0.375,0.0,0.0
f1_score_test,0.16019138755980863,0.3672222222222222,0.3206571206571207,0.33300503566265827,0.42469421416789843,0.23422490642052887,0.2771524771524771,0.27182120500782475,0.2740136054421769,0.4138681592039801,0.38693678160919537,0.34095860566448805,0.39378126954346465,0.550092707900927,0.30990382388188964,0.347065818003777,0.1806495184402161,0.32524009603841536,0.32123173097778446,0.43244239631336406,0.5023699134826345,0.3830058619192358,0.4066677604828009,0.317472926221553,0.25116563659154606,0.386390977443609,0.4026955602536998,0.3143267651888342,0.40228082679971494,0.35710407239819003,0.2773333333333334,0.4378947368421053
