,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.6964285714285714,0.7727272727272727,0.78,0.75,0.7651006711409396,0.7622377622377622,0.7841726618705036,0.6644295302013423,0.6402877697841727,0.7191780821917808,0.7254901960784313,0.7529411764705882,0.7456647398843931,0.7005649717514124,0.6927374301675978,0.7093596059113301,0.6862745098039216,0.7089201877934272,0.7413793103448276,0.7123893805309734,0.7051282051282052,0.6903765690376569,0.6460905349794238,0.6363636363636364,0.611336032388664,0.6359832635983264,0.639344262295082,0.6351931330472103,0.6137339055793991,0.6120689655172413,0.657258064516129,0.625
정밀도,0.4,0.41935483870967744,0.5,0.475,0.53125,0.4722222222222222,0.5625,0.5294117647058824,0.48214285714285715,0.4827586206896552,0.5263157894736842,0.5517241379310345,0.5555555555555556,0.5303030303030303,0.4925373134328358,0.4875,0.4857142857142857,0.5147058823529411,0.5652173913043478,0.5180722891566265,0.5256410256410257,0.524390243902439,0.43010752688172044,0.38144329896907214,0.37894736842105264,0.4111111111111111,0.42857142857142855,0.4157303370786517,0.4675324675324675,0.4444444444444444,0.475,0.4772727272727273
재현율,0.9333333333333333,0.9285714285714286,0.9285714285714286,0.95,0.9444444444444444,1.0,0.9473684210526315,0.9,0.9310344827586207,0.9333333333333333,0.967741935483871,0.8421052631578947,0.975609756097561,0.8536585365853658,0.8048780487804879,0.8666666666666667,0.7391304347826086,0.7608695652173914,0.7647058823529411,0.8958333333333334,0.803921568627451,0.8431372549019608,0.851063829787234,0.8604651162790697,0.8372093023255814,0.8604651162790697,0.8666666666666667,0.8809523809523809,0.8780487804878049,0.9523809523809523,0.8444444444444444,0.9130434782608695
f1_score,0.7172578210615553,0.7893340893340893,0.7887251250041948,0.7644732308310067,0.7790661384512867,0.7778820276895829,0.7964976855724722,0.678521590029306,0.6522597352515498,0.7379298001616429,0.7384210056227871,0.7722474122444063,0.7620896796329776,0.7222296932635113,0.7149700636957639,0.729224998877027,0.7055953174470005,0.7277976193815971,0.7540798777124578,0.729496035471745,0.7239951821682592,0.7079149110027172,0.6692232336686796,0.6673033673903618,0.640663783203829,0.6593456090267491,0.6617313328318107,0.6599610487591179,0.6317041838194505,0.6259141817722548,0.6753390209569051,0.6464342378228182
정확도_test,0.5,0.5,0.4722222222222222,0.5652173913043478,0.5333333333333333,0.5178571428571429,0.3770491803278688,0.14084507042253522,0.22077922077922077,0.4925373134328358,0.38333333333333336,0.5686274509803921,0.38461538461538464,0.4666666666666667,0.44,0.3793103448275862,0.45,0.375,0.2127659574468085,0.1935483870967742,0.3620689655172414,0.3392857142857143,0.3548387096774194,0.3064516129032258,0.3492063492063492,0.26666666666666666,0.1875,0.1896551724137931,0.13043478260869565,0.26153846153846155,0.175,0.2631578947368421
정밀도_test,0.2857142857142857,0.25,0.0,1.0,0.0,0.5,0.32142857142857145,0.16393442622950818,0.2,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.2,0.1,0.25806451612903225,0.2222222222222222,0.19444444444444445,0.21428571428571427,0.25,0.2631578947368421,0.3333333333333333,0.13793103448275862,0.2857142857142857,0.13636363636363635,0.24324324324324326,0.25,0.22448979591836735,0.2702702702702703,0.3333333333333333,0.3
재현율_test,0.2857142857142857,0.2857142857142857,0.0,0.05263157894736842,0.0,0.09523809523809523,0.5294117647058824,0.9090909090909091,0.9285714285714286,0.75,0.45454545454545453,0.125,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.2,0.6666666666666666,0.5,0.875,0.6428571428571429,0.7272727272727273,0.38461538461538464,0.6666666666666666,0.4,0.6666666666666666,0.2727272727272727,0.8181818181818182,0.6666666666666666,0.6875,0.6666666666666666,0.36363636363636365,0.5
f1_score_test,0.5141463414634146,0.5238095238095238,0.4444444444444444,0.413962033067973,0.37101449275362325,0.4275292608625942,0.3982350018994185,0.16400194361521647,0.26243885984145726,0.5422002963706211,0.4663231461738925,0.5838685350070548,0.4778907609287647,0.562788671023965,0.5101959444064706,0.44075235109717875,0.4915099715099715,0.40648077412783284,0.26836142580823436,0.23534340897448752,0.4120860998072392,0.3686707410236822,0.40488758553274684,0.363449899474226,0.38629407231557766,0.27461894586894586,0.20268063822751323,0.25214913551627555,0.19731527678783556,0.32594598991712925,0.24181818181818185,0.286241920590951
