,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.6547619047619048,0.6493506493506493,0.6666666666666666,0.65625,0.7315436241610739,0.7622377622377622,0.7769784172661871,0.6912751677852349,0.6690647482014388,0.6643835616438356,0.6993464052287581,0.6941176470588235,0.6589595375722543,0.6214689265536724,0.664804469273743,0.6108374384236454,0.5931372549019608,0.6197183098591549,0.6293103448275862,0.6238938053097345,0.6666666666666666,0.6401673640167364,0.6172839506172839,0.5909090909090909,0.5991902834008097,0.6150627615062761,0.5655737704918032,0.6609442060085837,0.5965665236051502,0.6077586206896551,0.6088709677419355,0.5541666666666667
정밀도,0.6231884057971014,0.6229508196721312,0.639344262295082,0.6575342465753424,0.7619047619047619,0.8,0.8979591836734694,0.8472222222222222,0.8307692307692308,0.855072463768116,0.8026315789473685,0.7916666666666666,0.8255813953488372,0.7553191489361702,0.7978723404255319,0.7217391304347827,0.7659574468085106,0.75,0.74,0.71,0.7545454545454545,0.6776859504132231,0.6952380952380952,0.6065573770491803,0.5891472868217055,0.6016949152542372,0.58,0.6181818181818182,0.5603448275862069,0.6194690265486725,0.6296296296296297,0.6442307692307693
재현율,0.7413793103448276,0.7307692307692307,0.75,0.8,0.7868852459016393,0.8524590163934426,0.7457627118644068,0.7625,0.7012987012987013,0.7468354430379747,0.7349397590361446,0.8351648351648352,0.7553191489361702,0.7473684210526316,0.8064516129032258,0.8217821782178217,0.7128712871287128,0.75,0.7047619047619048,0.7171717171717171,0.8058252427184466,0.803921568627451,0.7087378640776699,0.7956989247311828,0.8,0.7717391304347826,0.6373626373626373,0.8192771084337349,0.8125,0.8536585365853658,0.723404255319149,0.6836734693877551
f1_score,0.6582798459563544,0.6532622782622782,0.6704788355641933,0.6638410192494115,0.7331735787455176,0.7614308802959482,0.7748567045819469,0.6893958151148947,0.6734326824254883,0.6734393221255147,0.6970777770923917,0.6914228255404725,0.6606563701514399,0.6165678787812388,0.6655927658753588,0.6171386364333842,0.5996674356013778,0.6299671930141902,0.6373485268550839,0.6296817114681497,0.6724591607136026,0.6503894054951118,0.6221242186232262,0.6002475277016561,0.6037708939617599,0.6181392156416755,0.5674735849185805,0.662460795642126,0.6010016035678458,0.6138218824576862,0.6154375753331331,0.5584830889192912
정확도_test,0.23333333333333334,0.5,0.3611111111111111,0.34782608695652173,0.37777777777777777,0.32142857142857145,0.3770491803278688,0.30985915492957744,0.2857142857142857,0.44776119402985076,0.36666666666666664,0.21568627450980393,0.15384615384615385,0.2833333333333333,0.25333333333333335,0.25862068965517243,0.4,0.32142857142857145,0.19148936170212766,0.27419354838709675,0.3103448275862069,0.2857142857142857,0.3709677419354839,0.2903225806451613,0.15873015873015872,0.31666666666666665,0.1875,0.22413793103448276,0.2028985507246377,0.2,0.375,0.5263157894736842
정밀도_test,0.625,0.8125,0.5294117647058824,0.6363636363636364,0.6585365853658537,0.5641025641025641,0.5925925925925926,0.38028169014084506,0.4155844155844156,0.5384615384615384,0.4,0.3684210526315789,0.2926829268292683,0.2702702702702703,0.37037037037037035,0.42424242424242425,0.5,0.39473684210526316,0.3333333333333333,0.38461538461538464,0.35135135135135137,0.3333333333333333,0.42857142857142855,0.27906976744186046,0.22727272727272727,0.32142857142857145,0.3076923076923077,0.5555555555555556,0.7142857142857143,0.6571428571428571,0.7666666666666667,0.7368421052631579
재현율_test,0.22727272727272727,0.65,0.47368421052631576,0.65625,0.9,0.7096774193548387,0.47058823529411764,1.0,1.0,0.4666666666666667,0.46153846153846156,0.3684210526315789,0.7058823529411765,0.5263157894736842,0.38461538461538464,0.6666666666666666,0.6666666666666666,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.5909090909090909,0.38095238095238093,0.2727272727272727,0.7058823529411765,0.5882352941176471,0.45,0.13793103448275862,0.4411764705882353,0.2222222222222222,0.5476190476190477,0.8214285714285714,1.0
f1_score_test,0.23434343434343433,0.4945652173913044,0.3421296296296296,0.31202046035805625,0.2644444444444444,0.3259204997788589,0.37120715350223543,0.15806658130601792,0.17017465293327363,0.3782608695652175,0.37733788640620936,0.2100840336134454,0.1164016272189349,0.2875812995378213,0.2697677823531482,0.3119441072447076,0.43107073366759174,0.31121123774184994,0.11264080100125158,0.24332076793144644,0.30670229320903986,0.3046098246991104,0.35979429640018706,0.31540362897117247,0.18326118326118326,0.3035847382431233,0.15570906432748538,0.23781735505873436,0.18614289346554797,0.18996915953666452,0.4088024114339904,0.46732215153267787
