,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.6428571428571429,0.6558441558441559,0.6466666666666666,0.73125,0.7248322147651006,0.7062937062937062,0.697841726618705,0.6644295302013423,0.7122302158273381,0.6232876712328768,0.6405228758169934,0.6529411764705882,0.653179190751445,0.6214689265536724,0.664804469273743,0.6650246305418719,0.6323529411764706,0.6244131455399061,0.5991379310344828,0.668141592920354,0.6452991452991453,0.5983263598326359,0.6008230452674898,0.5661157024793388,0.611336032388664,0.5732217573221757,0.5737704918032787,0.6051502145922747,0.5536480686695279,0.5517241379310345,0.5403225806451613,0.5833333333333334
정밀도,0.7580645161290323,0.6666666666666666,0.6229508196721312,0.7142857142857143,0.7258064516129032,0.7719298245614035,0.7592592592592593,0.765625,0.7945205479452054,0.7777777777777778,0.7692307692307693,0.8082191780821918,0.7411764705882353,0.8095238095238095,0.8235294117647058,0.7029702970297029,0.6952380952380952,0.6808510638297872,0.6634615384615384,0.7040816326530612,0.6938775510204082,0.6083333333333333,0.6470588235294118,0.5934065934065934,0.6194690265486725,0.55,0.5423728813559322,0.5619047619047619,0.47107438016528924,0.4857142857142857,0.5294117647058824,0.64
재현율,0.7704918032786885,0.8163265306122449,0.76,0.8181818181818182,0.8181818181818182,0.8148148148148148,0.7454545454545455,0.7313432835820896,0.8529411764705882,0.7671232876712328,0.7792207792207793,0.7023809523809523,0.7590361445783133,0.6144578313253012,0.6829268292682927,0.7888888888888889,0.8202247191011236,0.7272727272727273,0.7582417582417582,0.7666666666666667,0.723404255319149,0.776595744680851,0.6875,0.627906976744186,0.7865168539325843,0.8048780487804879,0.7804878048780488,0.8194444444444444,0.8028169014084507,0.918918918918919,0.7159090909090909,0.6736842105263158
f1_score,0.6474111489837424,0.6574345016667401,0.6544003409010059,0.7366725352112675,0.7260316348813305,0.7088741851789634,0.7029684509273315,0.6606381046508211,0.7140575372380678,0.6340345586382219,0.6553401717456434,0.6678639025627473,0.6621667961673317,0.6326289824349861,0.6809894815160071,0.6715729862994169,0.643692644850733,0.6341315459342473,0.617237306361136,0.6779476771204943,0.653073248204778,0.6107095286481602,0.6107267836038909,0.5834740679130713,0.6274401428013859,0.5906145182074576,0.6038996313792209,0.6239474715878186,0.572659869767037,0.5845610771339512,0.5574727601775328,0.5901991341991343
정확도_test,0.3333333333333333,0.4,0.4166666666666667,0.41304347826086957,0.3111111111111111,0.4107142857142857,0.3770491803278688,0.30985915492957744,0.3246753246753247,0.373134328358209,0.38333333333333336,0.13725490196078433,0.25,0.2833333333333333,0.29333333333333333,0.2413793103448276,0.2833333333333333,0.19642857142857142,0.0851063829787234,0.27419354838709675,0.22413793103448276,0.23214285714285715,0.3225806451612903,0.4838709677419355,0.42857142857142855,0.38333333333333336,0.3125,0.22413793103448276,0.34782608695652173,0.49230769230769234,0.4,0.47368421052631576
정밀도_test,0.7,0.5625,0.5,0.5675675675675675,0.5517241379310345,0.5789473684210527,0.5121951219512195,0.4411764705882353,0.4032258064516129,0.4230769230769231,0.3611111111111111,0.18518518518518517,0.2647058823529412,0.24,0.2916666666666667,0.47619047619047616,0.4117647058823529,0.3870967741935484,0.4,0.3870967741935484,0.30434782608695654,0.3793103448275862,0.36363636363636365,1.0,0.375,0.375,0.4166666666666667,0.5454545454545454,0.7368421052631579,0.7,0.7567567567567568,0.7777777777777778
재현율_test,0.4117647058823529,0.5625,0.5625,0.8076923076923077,0.64,0.7333333333333333,0.65625,0.9375,0.7575757575757576,0.8461538461538461,0.6190476190476191,0.38461538461538464,0.6428571428571429,0.375,0.3181818181818182,0.5263157894736842,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.35,0.6111111111111112,0.2222222222222222,0.1111111111111111,0.4,0.3333333333333333,0.37037037037037035,0.3333333333333333,0.5833333333333334,0.9333333333333333,0.9333333333333333,1.0
f1_score_test,0.3429629629629629,0.37350427350427345,0.3785039941902687,0.3551025430680886,0.2567003367003367,0.38839285714285715,0.36133229247983345,0.16540064356174503,0.28083639630809437,0.3763514669892661,0.39400623885918,0.1502230521838365,0.251423208773481,0.3323556475730388,0.3051813552683118,0.29514020462296325,0.29097358781569305,0.19414333426430203,0.09133738601823709,0.27921795239282504,0.22978711145680292,0.26716769820218095,0.2800499231950845,0.4160177975528365,0.43422649525760126,0.35672141706924315,0.30807345583160806,0.2179679391073694,0.36672473652346893,0.36275303643724693,0.37148526077097505,0.39699248120300756
