,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.7202380952380952,0.7597402597402597,0.7466666666666667,0.78125,0.8389261744966443,0.7272727272727273,0.7122302158273381,0.7248322147651006,0.7769784172661871,0.8082191780821918,0.7581699346405228,0.6411764705882353,0.6589595375722543,0.6836158192090396,0.664804469273743,0.6551724137931034,0.6911764705882353,0.6619718309859155,0.6206896551724138,0.6504424778761062,0.6153846153846154,0.6443514644351465,0.6090534979423868,0.6074380165289256,0.6032388663967612,0.5690376569037657,0.5614754098360656,0.6351931330472103,0.575107296137339,0.6163793103448276,0.6733870967741935,0.6166666666666667
정밀도,0.54,0.5416666666666666,0.48936170212765956,0.5957446808510638,0.6829268292682927,0.6,0.575,0.6226415094339622,0.7647058823529411,0.5869565217391305,0.5471698113207547,0.4032258064516129,0.4461538461538462,0.48333333333333334,0.42857142857142855,0.4027777777777778,0.39705882352941174,0.45161290322580644,0.36666666666666664,0.375,0.37037037037037035,0.39285714285714285,0.3448275862068966,0.313953488372093,0.35135135135135137,0.3068181818181818,0.30927835051546393,0.38961038961038963,0.42857142857142855,0.4069767441860465,0.42168674698795183,0.35714285714285715
재현율,0.84375,0.8387096774193549,0.8214285714285714,0.8,0.8484848484848485,0.8181818181818182,0.71875,0.8918918918918919,0.7647058823529411,0.84375,0.90625,0.8064516129032258,0.90625,0.8787878787878788,0.967741935483871,0.90625,0.8709677419354839,0.8484848484848485,0.868421052631579,0.9,0.8823529411764706,0.9428571428571428,0.8823529411764706,0.84375,0.7647058823529411,0.7941176470588235,0.8823529411764706,0.8823529411764706,0.825,0.875,0.8536585365853658,0.875
f1_score,0.737111261702146,0.7769405368997285,0.7645547012069015,0.7887780150177691,0.8431259498051458,0.7442044000015015,0.7256126469575463,0.7382329992094,0.7894403269274615,0.8194906433969624,0.7743917766831201,0.6675668974164977,0.6762038020851184,0.7082119814611993,0.694025181813718,0.6902113546158786,0.7284396809571285,0.689308245471311,0.6518064756620048,0.6822164501239335,0.6508245573630913,0.6774111047991894,0.6477023642325406,0.6464599913720331,0.6431146519280944,0.6066552470712887,0.59257988012638,0.6586796133793391,0.6068008662692544,0.6477835751932769,0.7010504804107865,0.6410163849579019
정확도_test,0.26666666666666666,0.4666666666666667,0.4722222222222222,0.4782608695652174,0.4666666666666667,0.5357142857142857,0.3770491803278688,0.4647887323943662,0.5844155844155844,0.5671641791044776,0.5666666666666667,0.49019607843137253,0.4230769230769231,0.5,0.44,0.3793103448275862,0.4166666666666667,0.30357142857142855,0.3829787234042553,0.3709677419354839,0.29310344827586204,0.3392857142857143,0.3064516129032258,0.2903225806451613,0.3333333333333333,0.31666666666666665,0.28125,0.1896551724137931,0.014492753623188406,0.03076923076923077,0.25,0.42105263157894735
정밀도_test,0.18181818181818182,0.25,0.0,0.35714285714285715,0.25,0.2857142857142857,0.125,0.10344827586206896,0.25,0.3333333333333333,0.2857142857142857,0.0,0.07142857142857142,0.17647058823529413,0.08333333333333333,0.047619047619047616,0.2,0.20689655172413793,0.2,0.2,0.11538461538461539,0.08695652173913043,0.14285714285714285,0.17391304347826086,0.3157894736842105,0.30434782608695654,0.2608695652173913,0.1111111111111111,0.057971014492753624,0.05357142857142857,0.0,0.2
재현율_test,0.2222222222222222,0.2222222222222222,0.0,0.5,0.2,0.2,0.2,0.42857142857142855,0.375,0.1111111111111111,0.5,0.0,0.25,0.6,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.5454545454545454,0.7142857142857143,0.4166666666666667,0.3,0.2222222222222222,0.3,0.4444444444444444,0.42857142857142855,0.4666666666666667,0.4,0.3,1.0,1.0,0.0,1.0
f1_score_test,0.3047619047619048,0.4518518518518519,0.3777777777777778,0.5142731664470794,0.4912280701754385,0.5270047412904557,0.4518600252206811,0.5013775169893763,0.601966178320858,0.5781927799426512,0.5913390313390313,0.5780899424446395,0.5172093531468531,0.5976351351351352,0.5208038277511962,0.42744234062596875,0.45132275132275146,0.3481392557022809,0.434764818899879,0.42460116663152714,0.37635052442818834,0.4049385759480669,0.3901865907653384,0.3492326072971234,0.401464701054865,0.37005847953216375,0.322511963842609,0.20834307279015957,0.00042625745950554135,0.029038740649771123,0.3330128205128205,0.48245614035087714
