,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.6369047619047619,0.6948051948051948,0.64,0.6375,0.6778523489932886,0.6783216783216783,0.6690647482014388,0.6778523489932886,0.6474820143884892,0.6712328767123288,0.6209150326797386,0.611764705882353,0.5953757225433526,0.655367231638418,0.6871508379888268,0.6502463054187192,0.696078431372549,0.6713615023474179,0.6206896551724138,0.6238938053097345,0.6538461538461539,0.606694560669456,0.6337448559670782,0.6115702479338843,0.6194331983805668,0.6317991631799164,0.6557377049180327,0.6523605150214592,0.6094420600858369,0.6379310344827587,0.6048387096774194,0.6291666666666667
정밀도,0.3968253968253968,0.43548387096774194,0.40350877192982454,0.5178571428571429,0.5098039215686274,0.5319148936170213,0.48,0.6724137931034483,0.5666666666666667,0.6206896551724138,0.5507246376811594,0.6024096385542169,0.5657894736842105,0.5975609756097561,0.6410256410256411,0.6486486486486487,0.6666666666666666,0.6049382716049383,0.5196078431372549,0.5568181818181818,0.5531914893617021,0.47706422018348627,0.5042735042735043,0.42718446601941745,0.46875,0.4835164835164835,0.4782608695652174,0.42168674698795183,0.3939393939393939,0.4375,0.4148936170212766,0.4318181818181818
재현율,0.9259259259259259,1.0,0.8846153846153846,0.8787878787878788,0.8387096774193549,0.8333333333333334,0.8,0.8478260869565217,0.7906976744186046,0.8372093023255814,0.8636363636363636,0.8620689655172413,0.7413793103448276,0.8305084745762712,0.9090909090909091,0.8,0.8275862068965517,0.8305084745762712,0.7910447761194029,0.8166666666666667,0.8253968253968254,0.8253968253968254,0.9365079365079365,0.8461538461538461,0.8333333333333334,0.8301886792452831,0.8,0.813953488372093,0.8863636363636364,0.9545454545454546,0.8478260869565217,0.8636363636363636
f1_score,0.6550012664640325,0.7245239455050985,0.6573283641423177,0.642403515317332,0.6894733659834332,0.6849705981174595,0.6821699908336981,0.6826395547725296,0.6555529109508711,0.6726717955464843,0.6333740928118439,0.6186457191572282,0.6031311770350258,0.66193850982134,0.6972444704742445,0.6557780476918497,0.6983559075140747,0.6790478875132897,0.6339896893984769,0.6254229792649523,0.6587391062136446,0.6121007355468212,0.6391472382741,0.6281740088939601,0.6274850963169931,0.6458618670171896,0.6745533841618621,0.6768907211592816,0.6429130068261892,0.6626610936955766,0.6348034310831073,0.6479059318863764
정확도_test,0.3,0.26666666666666666,0.2777777777777778,0.1956521739130435,0.2,0.26785714285714285,0.4098360655737705,0.22535211267605634,0.23376623376623376,0.31343283582089554,0.3333333333333333,0.11764705882352941,0.36538461538461536,0.31666666666666665,0.4,0.4482758620689655,0.38333333333333336,0.4107142857142857,0.2553191489361702,0.20967741935483872,0.3448275862068966,0.3392857142857143,0.3387096774193548,0.3709677419354839,0.36507936507936506,0.2833333333333333,0.421875,0.3620689655172414,0.42028985507246375,0.38461538461538464,0.45,0.42105263157894735
정밀도_test,0.43478260869565216,0.3,0.30434782608695654,0.32,0.4642857142857143,0.43478260869565216,0.47368421052631576,0.20689655172413793,0.23214285714285715,0.14285714285714285,0.0,0.09375,0.21875,0.045454545454545456,0.3157894736842105,0.375,0.4,0.3793103448275862,0.18421052631578946,0.16,0.21951219512195122,0.1724137931034483,0.21875,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.23529411764705882,0.25,1.0,0.0
재현율_test,0.9090909090909091,0.6,0.6363636363636364,0.4,0.65,0.47619047619047616,0.45,0.7058823529411765,0.6842105263157895,0.05263157894736842,0.0,0.3333333333333333,0.875,0.1111111111111111,0.3333333333333333,0.42857142857142855,0.5,0.7857142857142857,1.0,0.6666666666666666,0.8181818181818182,0.45454545454545453,0.5833333333333334,0.5,0.4444444444444444,0.4,0.1111111111111111,0.2,0.3333333333333333,0.5454545454545454,0.1111111111111111,0.0
f1_score_test,0.3076023391812866,0.2865319865319865,0.28637566137566134,0.22541806020066887,0.26614641397250094,0.27404636903117147,0.39511819046456814,0.16953897296824427,0.20436437090011325,0.26894146121538576,0.30818530128874955,0.1604969574036511,0.3594187833318268,0.339438775510204,0.3984963670209572,0.45116411393442374,0.3919368498091902,0.39264302507836996,0.2678558636005445,0.22208781362007168,0.378742838612042,0.3759754817358503,0.3712121212121212,0.42431724472471505,0.392677868868345,0.31987639553429026,0.3997260789561726,0.35293391007103914,0.4104164409526717,0.35930769230769233,0.44666666666666666,0.402745995423341
