,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.625,0.6493506493506493,0.6466666666666666,0.54375,0.6040268456375839,0.5664335664335665,0.697841726618705,0.6644295302013423,0.7122302158273381,0.636986301369863,0.6274509803921569,0.5823529411764706,0.6763005780346821,0.6384180790960452,0.6256983240223464,0.6009852216748769,0.6666666666666666,0.6197183098591549,0.6379310344827587,0.5575221238938053,0.5811965811965812,0.5648535564853556,0.5761316872427984,0.5619834710743802,0.5708502024291497,0.5857740585774058,0.5614754098360656,0.5879828326180258,0.6866952789699571,0.625,0.5806451612903226,0.6166666666666667
정밀도,0.288135593220339,0.34146341463414637,0.2978723404255319,0.2545454545454545,0.3333333333333333,0.2549019607843137,0.34210526315789475,0.4375,0.5,0.4444444444444444,0.43478260869565216,0.47368421052631576,0.4576271186440678,0.43548387096774194,0.4032258064516129,0.4520547945205479,0.5396825396825397,0.44,0.4470588235294118,0.34444444444444444,0.375,0.37362637362637363,0.37383177570093457,0.3137254901960784,0.30973451327433627,0.3269230769230769,0.32989690721649484,0.30434782608695654,0.3835616438356164,0.31645569620253167,0.3103448275862069,0.34615384615384615
재현율,0.9444444444444444,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9130434782608695,0.8181818181818182,0.8333333333333334,0.7692307692307693,0.7941176470588235,0.84375,0.8181818181818182,0.7575757575757576,0.825,0.8292682926829268,0.825,0.8837209302325582,0.7380952380952381,0.8571428571428571,0.7906976744186046,0.9090909090909091,0.8648648648648649,0.9210526315789473,0.9444444444444444,0.8648648648648649,0.9333333333333333,0.9333333333333333,0.8620689655172413,0.8181818181818182,0.9
f1_score,0.6416519130034481,0.6654976764054878,0.674084588868969,0.5639940936680067,0.6147959560829404,0.5900331129821152,0.7193328988363139,0.6710582244312266,0.7248475330004936,0.6536959395080032,0.6407317223669909,0.6010856914599291,0.6987521364741284,0.6596916451007278,0.6479912411220485,0.6150458761172177,0.6766217144505856,0.6373030712243941,0.65272526979949,0.5879052693663456,0.6088415014428514,0.5910619646931999,0.5985632889196499,0.5928771863915556,0.603545368547327,0.6215806779375401,0.5915733812343182,0.6246746031106963,0.7068024323054196,0.6560293045994866,0.613550690331621,0.6431610275689223
정확도_test,0.4,0.5333333333333333,0.4722222222222222,0.17391304347826086,0.24444444444444444,0.23214285714285715,0.26229508196721313,0.22535211267605634,0.38961038961038963,0.29850746268656714,0.3,0.35294117647058826,0.3076923076923077,0.31666666666666665,0.3333333333333333,0.22413793103448276,0.31666666666666665,0.25,0.23404255319148937,0.24193548387096775,0.29310344827586204,0.26785714285714285,0.4838709677419355,0.3709677419354839,0.2222222222222222,0.18333333333333332,0.359375,0.27586206896551724,0.3333333333333333,0.36923076923076925,0.3,0.10526315789473684
정밀도_test,0.1111111111111111,0.14285714285714285,0.125,0.24324324324324326,0.25806451612903225,0.2222222222222222,0.21052631578947367,0.2222222222222222,0.22448979591836735,0.19047619047619047,0.17647058823529413,0.0,0.2,0.1,0.16666666666666666,0.16666666666666666,0.03571428571428571,0.09523809523809523,0.12121212121212122,0.0975609756097561,0.10344827586206896,0.09523809523809523,0.0,0.1111111111111111,0.13043478260869565,0.12195121951219512,0.09523809523809523,0.13636363636363635,0.125,0.1875,0.0,0.0
재현율_test,0.2,0.25,0.2,0.75,0.7272727272727273,0.6153846153846154,0.5714285714285714,1.0,0.7857142857142857,0.6153846153846154,0.5,0.0,0.09090909090909091,0.1,0.08333333333333333,0.7142857142857143,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.0,0.42857142857142855,1.0,0.8333333333333334,0.25,0.3333333333333333,0.16666666666666666,0.25,0.0,0.0
f1_score_test,0.3459459459459459,0.445,0.39351851851851843,0.1736192714453584,0.268970189701897,0.27780321530321533,0.2508733023147947,0.23213543889600224,0.41383002961950327,0.35041575340082803,0.3512066905615293,0.3813290021891109,0.31126725838264296,0.34878800616505534,0.34336012246460007,0.29072600451910796,0.4208791208791208,0.29970588235294116,0.27497977688733377,0.2881235827664399,0.3382886334610473,0.29951992451992443,0.4922861150070126,0.43704316240002433,0.30389610389610394,0.2647721454173067,0.39613514507989905,0.32879639929139376,0.34754944902946194,0.3820483882022343,0.2947674418604651,0.11695906432748539
