,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
Train_1,40,35,36,32,26,23,22,21,18,17,19,13,14,14,16,18,20,20,22,24,27,32,35,35,39,38,39,41,42,42,42,40
Train_2,113,105,100,108,105,103,98,98,92,99,103,119,118,122,122,140,138,147,159,154,156,156,161,164,165,158,160,150,150,148,161,154
Train_3,9,9,10,12,10,9,13,16,16,16,15,18,19,19,19,22,23,23,24,22,24,24,19,20,20,21,25,23,23,24,25,26
Train_4,6,5,4,8,8,8,6,14,13,14,16,20,22,22,22,23,23,23,27,26,27,27,28,23,23,22,20,19,18,18,20,20
Test_1,1,1,0,1,2,3,6,9,9,8,7,6,8,8,9,8,8,13,13,12,14,9,10,15,12,12,10,5,3,3,1,0
Test_2,22,22,24,26,24,32,38,51,54,47,42,37,38,46,55,40,40,31,26,36,33,34,37,37,39,37,43,41,50,47,28,13
Test_3,3,3,8,10,10,11,5,4,5,4,5,5,5,5,6,3,4,4,3,8,6,8,11,7,8,7,5,8,10,9,7,3
Test_4,4,4,4,9,9,10,12,7,9,8,6,3,1,1,5,7,8,8,5,6,5,5,4,3,4,4,6,4,6,6,4,3
