,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
Train_1,52,52,49,44,33,27,28,24,20,19,22,24,23,24,26,33,32,32,36,39,40,42,43,47,48,48,51,50,50,50,48,41
Train_2,58,50,49,56,55,55,52,45,42,48,48,55,56,58,60,69,71,81,91,88,91,95,97,102,104,99,102,100,103,100,106,101
Train_3,15,14,16,16,16,18,18,23,22,21,23,22,25,26,26,30,29,29,28,27,27,25,25,22,22,22,23,25,22,22,28,26
Train_4,43,38,36,44,45,43,41,57,55,58,60,69,69,69,67,71,72,71,77,72,76,77,78,71,73,70,68,58,58,60,66,72
Test_1,0,0,4,4,4,7,8,15,15,13,11,12,13,12,13,8,8,10,11,12,12,13,16,18,17,15,8,3,4,3,2,1
Test_2,8,10,13,10,11,18,19,29,30,24,23,20,22,29,36,29,28,24,19,24,24,22,24,27,29,25,27,21,20,20,10,4
Test_3,6,7,5,8,9,7,8,6,8,9,7,9,6,6,8,4,4,3,2,3,4,4,6,9,8,9,12,10,12,11,5,2
Test_4,16,13,14,24,21,24,26,21,24,21,19,10,11,13,18,17,20,19,15,23,18,17,16,8,9,11,17,24,33,31,23,12
