,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
Train_1,85,71,69,66,56,49,52,45,40,40,44,41,41,41,45,51,51,53,57,58,63,68,70,75,77,77,79,83,83,85,86,89
Train_2,56,56,55,61,62,64,57,58,56,63,65,71,74,77,79,92,95,101,108,108,108,108,110,115,116,109,110,107,106,103,116,107
Train_3,14,14,15,18,16,15,15,16,15,15,15,19,19,20,18,19,17,17,19,17,17,17,17,16,17,16,17,13,12,12,12,13
Train_4,13,13,11,15,15,15,15,30,28,28,29,39,39,39,37,41,41,42,48,43,46,46,46,36,37,37,38,30,32,32,34,31
Test_1,4,4,7,7,8,13,16,21,22,18,14,16,17,18,20,14,16,19,20,24,22,22,25,29,28,26,21,22,31,28,22,11
Test_2,15,16,18,19,17,22,25,33,36,30,28,26,27,33,37,30,28,23,20,26,25,23,25,25,26,24,34,26,26,26,9,3
Test_3,6,5,4,2,2,3,3,5,6,6,6,4,3,3,6,6,6,5,2,1,2,2,3,2,1,2,1,4,5,4,4,1
Test_4,5,5,7,18,18,18,17,12,13,13,12,5,5,6,12,8,10,9,5,11,9,9,9,6,8,8,8,6,7,7,5,4
