,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
Train_1,79,66,64,65,59,52,56,48,43,43,47,45,45,45,48,52,52,54,55,55,59,63,65,70,71,70,70,79,77,77,82,87
Train_2,64,62,61,66,61,62,53,57,55,63,66,78,81,85,85,98,102,107,119,120,120,120,122,129,131,124,127,115,113,112,121,111
Train_3,13,14,13,15,16,16,17,21,19,19,19,16,17,17,17,19,16,16,18,16,17,17,16,13,13,13,14,13,14,14,15,15
Train_4,12,12,12,14,13,13,13,23,22,21,21,31,30,30,29,34,34,36,40,35,38,39,40,30,32,32,33,26,29,29,30,27
Test_1,8,8,12,9,9,15,18,21,23,18,11,13,12,13,14,12,15,17,22,24,21,22,23,30,29,25,23,21,33,32,24,13
Test_2,13,14,14,18,18,23,26,37,40,35,35,29,31,35,44,36,31,27,17,27,29,27,31,23,22,23,29,25,28,25,11,5
Test_3,4,3,4,7,6,6,6,2,3,3,3,4,3,4,5,3,5,4,2,4,2,2,4,2,4,4,4,6,4,4,2,0
Test_4,5,5,6,12,12,12,11,11,11,11,11,5,6,8,12,7,9,8,6,7,6,5,4,7,8,8,8,6,4,4,3,1
