,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
Train_1,32,32,30,30,26,26,24,22,19,16,13,13,13,13,12,19,19,19,22,23,23,23,23,30,30,31,37,35,39,40,41,34
Train_2,75,73,70,75,68,63,60,60,52,57,63,73,77,81,85,94,96,106,119,113,117,122,124,126,128,126,125,126,123,118,119,111
Train_3,20,17,17,21,21,21,21,22,24,26,27,28,29,29,29,33,30,30,32,29,30,29,30,27,27,23,24,24,23,23,26,25
Train_4,41,32,33,34,34,33,34,45,44,47,50,56,54,54,53,57,59,58,59,61,64,65,66,59,62,59,58,48,48,51,62,70
Test_1,2,2,4,3,3,4,3,6,6,5,4,8,8,8,11,6,6,6,5,10,10,12,17,11,15,14,8,7,5,4,3,2
Test_2,11,12,16,17,17,22,26,33,38,36,35,30,30,36,42,33,32,28,21,30,28,26,27,33,33,28,29,15,16,16,7,3
Test_3,6,7,7,7,9,12,11,11,11,7,6,6,4,4,8,5,6,6,5,5,6,6,5,8,7,7,8,7,10,10,7,4
Test_4,11,9,9,19,16,18,21,21,22,19,15,7,10,12,14,14,16,16,16,17,14,12,13,10,8,11,19,29,38,35,23,10
